@relation R_data_frame

@attribute ICO numeric
@attribute year numeric
@attribute def numeric
@attribute class numeric
@attribute acid.test numeric
@attribute debt.ratio numeric
@attribute asset.turn numeric
@attribute returns numeric

@data
26942097,2012,0,1,0.417115,0.751621,1.677487,0.031842
26947048,2012,0,0,0.100186,0.956456,3.405763,0.100303
26956594,2012,0,1,5.04162,0.383277,1.46986,0.280115
27125149,2012,0,1,0.909086,0.259969,1.270755,0.070816
27134369,2012,0,1,1.692308,0.849938,2.15888,0.15099
27217035,2012,0,0,0.423862,1.031612,5.160543,-0.034922
27257045,2012,0,1,1.630695,0.433275,1.254827,0.110311
27329798,2012,0,1,9.408202,0.674849,1.855728,0.253661
27448550,2012,0,1,0.423588,0.867815,2.008603,0.061701
27507823,2012,0,1,1.719728,0.635984,2.532043,0.216173
27508617,2012,0,1,0.433826,1.017805,2.971828,-0.420331
27514234,2012,0,1,2.566667,0.364341,1.79845,0.534852
27514374,2012,0,1,3.405152,0.441094,3.367951,0.439419
27530302,2012,0,1,0.718856,0.743085,3.204322,0.116102
27531813,2012,0,1,0.459346,0.852437,3.183336,-0.008049
27546098,2012,0,1,0.998414,0.895002,0.203296,0.053785
27549381,2012,0,1,2.527211,0.361111,3.056763,0.4843
27736792,2012,1,1,1.020408,1.302635,5.283242,-0.420331
27740773,2012,0,1,1.346018,0.720749,0.544181,0.116871
27742164,2012,0,1,0.435923,0.746618,0.004106,0.050391
27760014,2012,0,1,0.292136,0.860773,2.420218,0.04693
27762025,2012,0,1,4.078342,0.392585,0.729556,0.232442
27781917,2012,0,1,0.555427,0.742592,0.712248,0.04299
27789977,2012,0,1,1.54562,0.494238,2.525611,0.132385
27797619,2012,1,1,0.202934,0.841997,3.587751,-0.175502
27825311,2012,0,0,3.2804,0.267819,0.035183,0.02679
27922901,2012,1,0,0.344065,0.992622,0.396811,-0.084436
27961559,2012,0,1,1.075293,0.830091,2.009934,0.137624
27968251,2012,0,1,3.004391,0.310474,3.364454,0.472925
28036328,2012,0,1,1.135849,0.903084,3.633627,0.0279
28046901,2012,0,1,0.809731,1.234979,5.283242,-0.376609
28050932,2012,0,1,0.935411,0.982332,0.33973,0.002437
28103521,2012,0,1,1.899292,0.239602,1.346075,0.221623
28116330,2012,0,1,0.895049,0.724465,4.463171,0.203414
28120272,2012,0,1,0.837525,0.630766,2.531622,0.240868
28124367,2012,0,1,1.715103,0.565808,2.864728,0.225104
28180577,2012,0,0,0.327996,0.453025,0.494438,0.019773
28182138,2012,0,0,2.109142,0.682974,1.623978,0.036893
28219937,2012,1,1,0.767937,0.587188,1.897443,-0.060004
28223209,2012,0,1,0.483591,0.501484,1.412407,0.052015
28268164,2012,0,1,-0.043878,0,1.327354,0.198057
28293428,2012,1,1,0.550649,0.988424,1.334272,-0.017142
28313721,2012,0,1,1.185598,0.850193,5.283242,0.106689
28337212,2012,0,1,6.595745,0.151613,5.283242,0.196774
28359411,2012,0,1,2.692932,0.278962,3.672075,0.037264
28410,2012,0,1,5.768636,0.073173,0.8053,0.045986
28416783,2012,0,1,0.569207,0.901036,1.740171,-0.059687
28531213,2012,0,1,0.357729,0.647975,2.388014,0.191343
28567196,2012,0,1,1.345486,0.613077,2.750769,0.236154
28585887,2012,0,1,3.85694,0.386438,1.728089,0.165569
28585941,2012,0,1,2.175637,0.524178,3.056867,0.047582
28586921,2012,0,1,1.237952,0.774827,5.283242,0.016213
28602706,2012,0,1,1.406577,0.819269,2.642193,0.061462
28609565,2012,0,1,0.639402,0.666984,1.920506,0.069149
28610199,2012,0,1,0.677139,0.818917,2.778761,0.11571
28615727,2012,0,1,0.741758,0.940568,4.70801,0.043928
28617151,2012,0,1,0.899689,0.834436,1.197464,0.054978
28625480,2012,0,1,1.686366,0.745164,0.011606,0.180824
28639456,2012,0,1,1.896242,0.532114,2.136,0.203886
28667891,2012,0,1,2.458974,0.811723,1.742451,0.077265
28762,2012,0,0,1.68243,0.210667,2.155256,-0.062994
28764871,2012,0,1,1.313089,0.758515,5.283242,0.137645
28768680,2012,0,0,1.057055,0.754673,1.1569,0.011132
28771711,2012,0,1,1.407796,0.716259,0.554091,0.137811
28776682,2012,0,1,1.82803,0.758531,2.756946,0.18609
28776984,2012,1,1,0.59708,1.302635,3.026956,-0.027061
28778758,2012,0,1,0.53664,0.290818,0.335821,0.332778
28784855,2012,0,1,0.809912,0.835868,2.774515,0.008915
28795199,2012,0,1,0.73437,0.793324,1.495594,0.014152
28795881,2012,0,1,0.180945,0.737374,3.801088,0.041181
28809271,2012,0,0,0.184796,1.092511,2.295955,0.043252
28812051,2012,0,1,1.10525,0.749188,1.208769,0.07795
28969685,2012,0,1,1.536427,0.632406,2.598854,0.356956
28976215,2012,0,1,0.923898,0.568121,3.668551,0.320813
28981308,2012,0,1,0.853557,0.715433,1.133194,0.059214
29050,2012,0,1,2.360402,0.199767,1.407656,0.029728
29072280,2012,0,0,1.63843,1.01714,0.096632,0.020105
29087864,2012,0,1,6.909091,0.127907,3.162791,0.22093
29092213,2012,0,1,1.499706,0.860391,0.007205,0.090298
29092345,2012,0,1,2.306516,0.223802,2.523215,0.38677
29099251,2012,0,1,2.106813,0.912461,0.316094,0.062779
29109035,2012,0,1,0.543707,1.152229,0.187432,0.024002
29110947,2012,0,1,1.90542,0.712452,1.133518,0.140896
29186633,2012,1,1,0.43675,1.108838,5.058348,-0.233001
29188440,2012,0,1,1.079564,0.481365,1.564924,0.137601
29188601,2012,0,1,2.057096,0.39347,3.694116,0.317696
29207177,2012,0,1,0.738367,0.724527,1.863108,0.019912
29233275,2012,1,0,0.148112,1.302635,0.740033,-0.333985
29235171,2012,0,1,0.590397,0.989951,2.414739,0.068279
29238480,2012,0,1,0.882675,0.758697,3.9348,0.211592
29240344,2012,0,1,0.921159,0.90575,5.283242,0.205828
29246857,2012,0,0,9.408202,0.017627,0.266718,0.033862
29256151,2012,0,1,0.213252,1.302635,1.304898,-0.296584
29263603,2012,0,0,4.014286,0.24911,2.245552,0.035587
29275415,2012,1,1,0.03083,1.302635,1.112644,-0.420331
30431,2012,0,0,3.855189,0.078796,1.376966,0.014375
40233324,2012,0,1,0.717482,0.948623,4.110906,0.065561
40524604,2012,0,1,1.050984,0.755958,1.359619,0.059995
42194920,2012,0,1,1.116746,0.582548,1.062316,0.095877
42937400,2012,0,1,3.931357,0.146474,1.236659,0.103752
44227744,2012,0,1,1.453491,0.304996,2.744898,0.205864
44567693,2012,1,1,0.429679,0.988934,1.904667,-0.013028
45192171,2012,0,0,1.24648,0.301162,1.051525,0.013968
45357072,2012,0,1,0.475445,0.752352,1.191945,0.021528
45792950,2012,0,1,3.368743,0.164201,1.645565,0.039597
46343555,2012,0,1,0.383995,1.302635,4.769213,-0.411758
46506357,2012,0,1,1.03849,0.591078,1.316839,0.031279
46507256,2012,0,1,0.976939,0.431005,1.501424,0.03951
46509755,2012,0,1,0.868927,0.319655,1.188875,0.011773
46580085,2012,0,1,3.389969,0.186084,1.355797,0.142585
46885811,2012,0,1,0.800414,0.565974,0.756683,0.039642
46963987,2012,1,1,0.374968,0.611467,0.692082,-0.008809
46966153,2012,0,1,0.546388,0.594463,2.05041,0.185923
46969250,2012,0,1,1.006452,0.601258,0.935447,0.030763
46982621,2012,0,1,0.721271,0.467735,1.252686,0.099574
47239484,2012,0,1,1.046152,0.770604,1.483584,0.033057
47450665,2012,0,0,0.220519,0.953771,1.702078,-0.410693
47455179,2012,0,1,4.82599,0.107269,1.35314,0.092402
47468424,2012,0,1,1.004368,0.580163,0.742549,0.077042
47470011,2012,0,1,1.028568,0.508738,0.646703,0.022626
47669381,2012,0,1,3.367368,0.196525,3.038271,0.32892
47718111,2012,0,1,9.408202,0.043223,0.279041,0.150447
48153745,2012,0,1,4.148969,0.106768,0.371324,0.004868
48155853,2012,0,1,1.524908,0.843573,1.328601,0.064189
48171514,2012,0,1,2.960899,0.171761,1.158595,0.010707
48208051,2012,0,1,1.29398,0.623478,0.948563,0.053632
48268445,2012,0,0,4.646541,0.145331,1.446679,-0.033871
48292486,2012,0,1,1.456918,0.193769,0.696949,0.044421
48397571,2012,0,1,0.805346,0.660804,0.944649,0.073622
48591726,2012,0,1,1.989239,0.511805,0.985857,-0.029899
49192094,2012,0,1,4.604933,0.083069,0.815802,0.050055
49435426,2012,0,1,3.076614,0.098322,0.802835,0.095628
49445553,2012,0,1,2.006127,0.20437,1.741908,-0.013876
