@relation 'R_data_frame-weka.filters.unsupervised.attribute.NumericToNominal-R3-weka.filters.unsupervised.attribute.Reorder-R1,2,4,5,6,7,8,3-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Remove-R1'

@attribute acid.test numeric
@attribute debt.ratio numeric
@attribute asset.turn numeric
@attribute returns numeric
@attribute def {0,1}

@data
1.04752,0.368047,1.363848,0.138112,0
1.274829,0.784419,3.274681,0.18133,0
0.904872,0.738478,1.635764,0.137381,0
9.408202,0.09444,1.087379,0.21271,0
1.742138,0.418136,5.283242,0.534852,0
0.498208,0.881524,2.099926,0.042674,0
0.39255,0.880795,2.220005,0.197484,0
0.938415,0.610801,4.636872,0.004097,1
9.408202,1.302635,1.358491,0.534852,0
1.163148,0.573984,2.68983,0.327047,0
1.550396,0.71155,3.100781,0.103109,0
1.098531,0.675184,1.772457,-0.085303,1
2.342227,0.2251,1.594104,0.06799,0
0.196891,1.302635,5.283242,0.534852,0
1.564409,0.715506,3.326544,0.188568,0
0.635239,0.842793,2.433137,0.102327,0
0.466881,0.870324,3.11837,0.028476,0
1.615961,0.856936,0.523303,0.143114,0
3.294444,0.489598,2.682386,0.246879,0
0.481164,1.302635,5.017689,-0.079009,0
1.100629,1.302635,5.283242,-0.420331,1
0.856235,0.754798,1.444273,0.114869,0
0.322102,0.751986,1.119712,-0.012454,0
0.548535,0.75,3.019471,0.110055,0
1.190489,0.44626,0.867549,0.3452,0
2.2115,0.462389,3.099834,0.040929,0
0.78441,0.700636,0.847677,0.075949,0
0.813671,0.742759,2.912325,0.241509,0
-0.043878,0.281955,1.817669,0.00094,0
2,0.116242,0.176752,-0.28689,0
3.861154,0.259075,0.012996,0.009436,0
0.074973,0.509167,0.028677,-0.015927,1
0.850688,0.910379,1.22419,0.034051,0
0.836211,0.94495,5.283242,0.098812,0
2.759,0.329176,3.765999,0.280276,0
3.255814,0.375715,0.214021,0.123668,0
0.548713,1.084746,5.283242,0.09671,0
2.501493,0.875551,5.283242,0.038546,0
0.899687,0.582428,5.283242,0.11413,0
1.125,0.57732,3.463125,0.534852,0
1.682703,0.335432,0.786249,0.089142,0
0.008718,1.156082,0.081201,0.024013,0
0.902625,0.796703,3.837892,0.214663,0
0.490745,0.724353,3.249454,0.220455,0
