@relation 'data10-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,1'

@attribute acid.test numeric
@attribute debt.ratio numeric
@attribute asset.turn numeric
@attribute returns numeric
@attribute def {0,1}

@data
1.849057,0.5,2.707547,-0.420331,0
1.689553,0.675823,1.941101,0.176575,0
9.408202,0.073146,1.106212,0.316633,0
0.635589,0.896536,5.283242,-0.420331,0
0.517903,0.89053,2.402881,0.082726,0
0.588494,0.900974,2.18202,-0.067654,0
2.022851,0.319875,2.270101,-0.005917,0
0.454634,0.475197,4.672694,-0.314789,0
6.739437,0.131579,3.634398,-0.420331,0
0.464646,1.302635,1.174603,0.253968,0
1.698672,0.501794,3.032163,0.357125,0
0.790291,0.686186,2.252022,0.139653,0
1.538041,0.707669,3.932898,0.526383,0
1.96573,0.257401,2.639079,0.218164,0
0.163743,1.302635,2.62963,-0.420331,0
1.122762,0.84355,3.793742,0.262452,0
0.780809,0.936499,1.901949,0.019559,0
0.259193,0.89932,2.17509,-0.039739,0
1.018229,0.805527,2.575406,0.307582,0
3.346684,0.990822,0.656329,-0.113487,0
1.62069,0.494768,4.629297,0.313901,0
2.883016,1.127903,0.910946,0.157018,0
2.298701,0.435028,5.283242,0.19209,0
0.846838,0.658242,1.651311,0.092834,0
0.268607,0.721121,1.479519,0.048064,0
0.564304,0.689877,2.778359,0.092732,0
2.872773,0.569952,0.78552,0.103196,0
1.924528,0.450533,2.752073,0.05628,0
0.686329,0.697028,0.680627,0.054416,0
0.803832,0.930819,2.063819,0.125772,0
1.689788,0.379663,1.700805,0.340892,0
0.386214,0.821686,0.214223,0.087837,0
9.408202,0.013175,0.000072,0.000024,0
9.408202,0.037907,0.221404,0.008692,0
0.068434,0.483642,0.030178,0.001995,0
0.698165,0.820166,2.152746,-0.060948,0
0.75272,1.050169,0.109279,0.316511,0
3.146465,0.368015,3.805089,0.004543,0
1.705826,0.47917,0.214746,0.122131,0
1.049689,1.302635,3.276973,-0.420331,1
0.736818,1.043148,5.174016,0.080133,0
6.247729,0.065227,0.737908,-0.065442,0
0.146998,1.299785,0.229279,-0.303552,0
0.705382,0.848488,3.355232,0.192882,0
0.537721,0.908965,0.984335,0.040261,0
0.345659,0.376625,0.332933,0.01242,0
1.985306,0.758085,1.37056,-0.092499,1
1.007119,0.512138,1.97156,0.051078,0
0.71827,0.537966,1.400343,0.056142,0
2.354962,0.425041,3.632091,0.096434,0
0.687866,0.968656,1.272087,0.096569,0
0.32,1.302635,0.15,-0.07,1
1.564975,0.636965,5.283242,0.164673,0
4.163043,1.302635,5.283242,-0.41769,0
1.097881,0.773075,1.338624,0.307466,0
1.523929,0.748894,0.114496,0.27371,0
1.124203,0.842363,3.017515,0.166277,0
1.481379,0.675047,3.385475,0.140596,0
1.705306,0.448766,2.462842,0.534852,0
7.551971,0.057876,0.864973,0.058865,0
0.595778,0.828121,1.39084,-0.11295,1
1.038295,0.953178,5.283242,0.028128,0
0.300453,0.894642,2.49405,0.139155,0
1.079976,0.993888,0.970185,-0.361956,0
0.87037,0.823944,3.685446,0.329812,0
2.029386,0.394633,3.295716,0.478066,0
1.460161,0.634795,4.245147,0.28972,0
0.851116,0.805736,5.283242,0.0969,0
0.990741,0.684411,5.053232,0.045627,0
0.888981,0.807652,2.126366,0.213821,0
0.549148,0.943357,1.886713,0.032028,0
1.73851,0.829691,1.516956,0.238131,0
1.689582,0.193288,1.498747,-0.036098,0
0.572946,0.970611,1.308562,0.018949,0
1.02576,0.941405,5.283242,-0.251632,0
2.115163,0.316744,0.231726,0.113271,0
0.936041,0.915964,2.426779,0.037926,0
1.486239,0.900349,0.433304,0.084568,0
1.136038,0.553501,3.927345,0.376486,0
2.410637,0.971445,4.096665,0.094675,0
0.687061,1.302635,2.862477,-0.209797,1
