sample	value
1001	0.09178
1002	0.0684
1003	0.02435
1004	0.08322
1005	0.08318
1006	0.03896
1007	0.03495
1008	0.02187
1009	0.09488
1010	0.07851
1011	0.1093
1012	0.06979
1013	0.1032
1014	0.04179
1015	0.1919
1016	0.04603
1017	0.05555
1018	0.01728
1019	0.04045
1020	0.1121
1021	0.07567
1022	0.07466
1023	0.1513
1024	0.1307
1025	0.06386
1026	0.06908
1027	0.005663
1028	0.1215
1029	0.06707
1030	0.03235
1031	-0.02479
1032	0.06824
1033	0.05025
1034	0.0818
1035	0.103
1036	0.05572
1037	0.07899
1038	0.02035
1039	0.08229
1040	0.07668
1041	0.04966
1042	0.09206
1043	0.04515
1044	0.0621
1045	0.03903
1046	0.1639
1047	0.01659
1048	0.1043
1049	0.03676
1050	0.06803
1051	0.07712
1052	0.07314
1053	0.08233
1054	0.03073
1055	0.08448
1056	0.05948
1057	0.1082
1058	-0.004934
1059	0.07353
1060	0.06471
1061	0.1001
1062	0.06647
1063	-0.01247
1064	0.05047
1065	0.1104
1066	0.04186
1067	0.09524
1068	0.09646
1069	0.1027
1070	0.06686
1071	0.1244
1072	0.02652
1073	0.09444
1074	0.1421
1075	0.1065
1076	0.1257
1077	-0.002289
1078	0.05215
1079	0.1025
1080	0.06388
1081	0.08485
1082	0.04846
1083	0.02782
1084	0.1065
1085	0.1013
1086	0.1309
1087	0.1367
1088	0.03052
1089	0.03367
1090	0.182
1091	0.0628
1092	0.07327
1093	0.00952
1094	0.1021
1095	0.04974
1096	0.05131
1097	0.04027
1098	0.08324
1099	0.0169
1100	0.07439
1101	0.03893
1102	0.03194
1103	0.1124
1104	0.03331
1105	0.1061
1106	0.08409
1107	0.07629
1108	0.07306
1109	0.07304
1110	0.05611
1111	0.1426
1112	0.1098
1113	0.05906
1114	0.079
1115	0.1552
1116	0.1259
1117	0.06634
1118	0.06591
1119	0.1135
1120	0.06264
1121	0.0879
1122	0.05338
1123	0.001989
1124	0.0969
1125	0.009481
1126	0.0508
1127	0.07213
1128	0.06234
1129	0.06484
1130	0.1006
1131	0.004516
1132	0.1371
1133	0.04167
1134	0.05507
1135	0.009193
1136	0.08934
1137	0.06058
1138	0.05509
1139	0.04726
1140	0.08068
1141	0.09139
1142	0.1298
1143	0.05487
1144	0.01338
1145	0.01545
1146	0.07447
1147	0.08224
1148	0.08623
1149	0.03437
1150	0.02201
1151	0.1246
1152	0.06881
1153	0.02443
1154	0.0231
1155	0.05356
1156	0.05993
1157	0.0361
1158	0.09672
1159	0.0479
1160	0.07713
1161	0.119
1162	0.1023
1163	7.157E-4
1164	0.08412
1165	0.07223
1166	0.114
1167	0.05655
1168	0.09304
1169	0.1208
1170	0.009634
1171	0.03533
1172	0.07086
1173	0.07412
1174	0.07075
1175	0.05517
1176	0.05492
1177	0.07845
1178	0.02085
1179	0.1103
1180	0.03556
1181	0.02558
1182	0.07512
1183	0.05975
1184	0.0133
1185	0.08914
1186	0.03484
1187	0.09026
1188	0.05867
1189	0.03332
1190	0.05575
1191	0.116
1192	0.07842
1193	0.04154
1194	0.02092
1195	0.09387
1196	0.09979
1197	0.1409
1198	0.07447
1199	0.1122
1200	0.08188
1201	0.05598
1202	0.07734
1203	0.05895
1204	0.1866
1205	0.04412
1206	0.001081
1207	0.07843
1208	0.1334
1209	0.08785
1210	0.05084
1211	0.06939
1212	0.03456
1213	0.09682
1214	0.06714
1215	0.09428
1216	0.04337
1217	0.1168
1218	0.09925
1219	0.06092
1220	0.03565
1221	0.1082
1222	0.02133
1223	0.07103
1224	0.1171
1225	0.07174
1226	0.1006
1227	0.03944
1228	-0.001466
1229	0.06642
1230	0.08057
1231	0.1494
1232	0.1433
1233	0.0546
1234	0.06601
1235	0.04849
1236	0.04237
1237	0.07146
1238	0.09057
1239	0.03876
1240	0.04302
1241	0.07983
1242	0.128
1243	0.06779
1244	0.09406
1245	0.02545
1246	0.138
1247	0.1038
1248	0.09544
1249	0.1542
1250	0.09486
1251	0.1256
1252	0.005266
1253	0.1057
1254	0.05094
1255	0.06479
1256	0.08392
1257	0.07218
1258	0.06409
1259	0.07295
1260	0.04439
1261	0.09409
1262	0.04826
1263	0.04909
1264	0.03568
1265	0.119
1266	0.1504
1267	0.09182
1268	0.03257
1269	0.03579
1270	0.01962
1271	0.09143
1272	0.08904
1273	0.1221
1274	0.04044
1275	0.09085
1276	0.0131
1277	0.07173
1278	-0.0138
1279	0.03745
1280	0.08121
1281	0.07838
1282	0.07644
1283	0.1325
1284	0.08891
1285	0.06642
1286	0.1047
1287	0.1033
1288	0.005855
1289	0.05427
1290	0.05975
1291	0.06703
1292	0.06356
1293	-0.001452
1294	0.08402
1295	0.0623
1296	0.0536
1297	0.1251
1298	0.1302
1299	0.09304
1300	0.07903
1301	0.04695
1302	0.0813
1303	0.09708
1304	0.01574
1305	0.07191
1306	0.018
1307	0.02032
1308	0.02742
1309	0.08045
1310	0.08369
1311	0.1232
1312	0.06395
1313	0.02452
1314	0.09042
1315	0.02926
1316	0.06098
1317	0.02305
1318	0.1505
1319	0.1273
1320	0.1325
1321	0.04941
1322	0.03891
1323	0.01392
1324	0.1347
1325	0.03411
1326	0.002806
1327	0.07867
1328	0.03886
1329	0.1361
1330	0.07889
1331	0.1393
1332	0.04275
1333	0.04024
1334	0.01146
1335	0.04252
1336	0.08337
1337	0.03954
1338	0.1325
1339	0.04423
1340	0.01906
1341	-0.03277
1342	0.002261
1343	0.08911
1344	0.05269
1345	0.09058
1346	-1.628E-4
1347	0.05244
1348	0.1074
1349	0.04235
1350	0.1192
1351	0.04354
1352	0.1443
1353	0.05656
1354	0.07531
1355	0.07533
1356	0.07233
1357	0.1006
1358	0.06516
1359	0.0474
1360	0.08392
1361	0.09412
1362	0.07619
1363	0.04923
