ICO;DAT_OD;DAT_DO;POC_MESICU;AKTIVACELK;OBEZNAA;Z;VLASTNIJM;HVML;KZ;KBU;TZPZ;TZPVVAS;ZCPIMM;PROVHOSPV;
"IÈ firmy";"Zaèátek období";"Konec období";"Poèet mìsícù úèetní závìrky";"Aktiva celkem - tis. Kè";"Obìžná aktiva - tis. Kè";"Zásoby - tis. Kè";"Vlastní kapitál - tis. Kè";"Výsledek hospodaøení minulých let - tis. Kè";"Krátkodobé závazky - tis. Kè";"Krátkodobé bankovní úvìry - tis. Kè";"Tržby za prodej zboží - tis. Kè";"Tržby za prodej vlastních výrobkù a služeb - tis. Kè";"Zùstatková cena prodaného dlouhodobého majetku a materiálu - tis. Kè";"Provozní výsledek hospodaøení - tis. Kè";
"00554812";20080101;20081231;"12";71288;14693;4195;15334;12718;22804;2825;212865;26507;;5795;
"26400987";20120101;20121231;"12";171;171;;171;-28;;;;;;;
"26400987";20110101;20111231;"12";172;172;;172;-21;;;;;;-6;
"26400987";20100101;20101231;"12";179;179;;179;-26;;;;167;;6;
"26400987";20090101;20091231;"12";174;171;;174;-25;;;;244;;;
"26400987";20080101;20081231;"12";176;176;;176;-22;;;;;;;
"25435655";20130101;20131231;"12";74872;29827;5341;29620;-70743;41477;;;123259;1;4706;
"25435655";20120101;20121231;"12";65997;21213;5389;25896;-73813;39338;;;123868;;2655;
"25435655";20110101;20111231;"12";69239;22484;4342;22826;-74123;45655;;;116864;30;918;
"25435655";20100101;20101231;"12";71372;22265;5121;22506;-78425;46620;;;127053;17;4474;
"25435655";20090101;20091231;"12";71663;21104;4490;20511;-73026;50777;;;122601;221;1332;
"25435655";20080101;20081231;"12";74005;19505;5141;23593;-62617;50203;;;117866;;-11845;
"26217686";20130101;20131231;"12";112439;50717;29531;30018;27371;22022;27240;1190;145641;;6927;
"26217686";20120101;20121231;"12";111520;50001;23876;27698;24819;21410;26337;4435;113335;;6636;
"26217686";20110101;20111231;"12";94876;28436;18005;25146;21321;12475;3920;4011;82984;;7239;
"26217686";20100101;20101231;"12";99836;33846;11801;21648;19470;26926;2034;5182;62933;606;2367;
"26217686";20090101;20091231;"12";37545;22601;9079;19871;15983;6422;977;4119;56974;;4776;
"29121132";20120101;20121231;"12";174;174;;167;-33;7;;;;;;
"29121132";20111011;20111231;" 3";174;174;;168;;6;;;;;-32;
"60779926";20130101;20131231;"12";35202;14579;10617;10329;13067;5601;9122;3369;15811;;-2495;
"60779926";20120101;20121231;"12";39887;19037;13610;14170;13078;4247;9766;3695;20168;;1889;
"60779926";20110101;20111231;"12";43256;18827;12490;14176;13036;4301;9731;2618;17998;;1850;
"60779926";20100101;20101231;"12";37792;18083;9899;14133;12889;6810;5355;3761;18657;;1751;
"60779926";20090101;20091231;"12";30675;17856;10754;14176;12893;2121;6200;4455;22117;;1368;
"60779926";20080101;20081231;"12";31348;18698;11913;13060;12207;2200;4900;6695;22319;;1804;
"24168378";20130101;20131231;"12";32843;32834;1511;1400;875;31443;;74024;;;604;
"24168378";20120101;20121231;"12";27762;27753;17680;1095;309;26633;;120680;;;-1150;
"24168378";20111010;20111231;" 3";35652;35642;16959;509;;35114;;28289;;;1478;
"28827538";20120105;20121231;"12";3712;3371;212;1692;;1990;;398;15023;;2249;
"28091639";20120101;20121231;"12";25845;11088;998;12227;5471;5718;;;66352;;6660;
"27825353";20110101;20111231;"12";156758;126255;11072;126844;1038;29026;;25976;41081;396;5977;
"27825353";20100101;20101231;"12";123515;123515;;123292;1004;;;;;;-6;
"27825353";20090101;20091231;"12";123857;122989;;123255;-4;378;;;;;991;
"27825353";20080101;20081231;"12";1996;596;;1996;;;;;;;;
"27825396";20110101;20111231;"12";294882;276634;31386;287907;4320;5328;;;84526;9;1449;
"27825396";20100101;20101231;"12";297966;280573;31386;286671;3018;9998;;;65971;;2590;
"27825396";20090101;20091231;"12";287451;268354;31386;285301;629;825;;27453;9471;;2602;
"27825396";20080101;20081231;"12";42000;24724;;2786;;39214;;22702;;;1562;
"15062309";20130101;20131231;"12";29970;12976;3429;-12770;-15169;31850;;;35117;;2285;
"15062309";20120101;20121231;"12";31963;14237;4575;-14591;-15647;35260;;;34657;-246;1384;
"15062309";20110101;20111231;"12";28470;10723;1978;-15070;-17275;25087;5091;;36807;;2809;
"15062309";20100101;20101231;"12";27536;7514;1221;-16697;-9254;23885;5000;;28679;835;-6656;
"15062309";20090101;20091231;"12";30242;8454;2146;-8676;240;16504;;;;;-7906;
"15062309";20080101;20081231;"12";27818;8193;2717;858;2670;22376;;47;;;-1981;
"29240344";20130101;20131231;"12";5870;5368;;1183;159;4687;;32005;2307;;1857;
"29240344";20120101;20121231;"12";3809;3178;;359;-15;3450;;19281;2173;;784;
"29240344";20110101;20111231;"12";2504;2056;126;176;105;2328;;12129;2926;;149;
"29240344";20100910;20101231;"4";601;511;;304;;297;;657;;;131;
"27848663";20130101;20131231;"12";567364;217128;25909;-87;-47102;567451;;;439454;5865;-45010;
"27848663";20120101;20121231;"12";465434;197686;28559;80034;-21;385400;;;351652;3743;-31021;
"27848663";20110101;20111231;"12";;;;179;-17;;;;;;;
"27848663";20100101;20101231;"12";183;183;;183;-13;0;;;;;;
"27848663";20090101;20091231;"12";186;186;;186;-10;0;;;;;;
"27848663";20080618;20081231;"7";190;190;;190;;;;;;;-7;
"28610938";20110101;20111231;"12";23072;22944;;11308;3857;11626;;2166;44532;;6200;
"28610938";20100106;20101231;"12";29992;29964;411;5857;;24132;;10544;62095;;3864;
"22800166";20130101;20131231;"12";165886;103130;20792;82790;405;80957;;;384985;439;36500;
"22800166";20121116;20121231;" 2";177382;;;45405;;;;;22667;217;482;
"25026496";20130101;20131231;"12";34497;21333;19324;22822;17506;3834;;19375;5430;;1993;
"25026496";20120101;20121231;"12";32798;19694;17976;21907;15575;3069;;19512;4203;;2541;
"25026496";20110101;20111231;"12";33669;20149;18209;19973;14613;4468;203;20273;3720;;1630;
"25026496";20100101;20101231;"12";24563;20513;18071;19013;13429;4468;352;19872;3060;2;1473;
"25026496";20090101;20091231;"12";22334;18330;16435;17829;10882;3240;515;19896;3110;;2073;
"25026496";20080101;20081231;"12";21548;19722;15834;15282;8832;4776;940;22406;4995;;2537;
"29275415";20130101;20131231;"12";549;522;378;-978;-595;1514;;;3354;479;-576;
"29275415";20120101;20121231;"12";870;286;247;-395;-113;1265;;;968;;-467;
"29275415";20110101;20111231;"12";1194;520;;88;;1106;;;1533;;-91;
"29276870";20130101;20131231;"12";170;170;;167;-20;3;;;;;-13;
"29276870";20120101;20121231;"12";580;580;;181;-46;399;;908;471;;33;
"29276870";20110426;20111231;" 9";346;346;257;154;;192;;678;383;;-46;
"29378273";20130101;20131231;"12";221875;219442;;175058;6121;39059;;;296;;2455;
"29378273";20121201;20121231;"1";220101;219242;;169320;24;40933;;;;;5004;
"28132424";20120101;20121231;"12";12283;11614;857;4234;2099;8049;;;38988;;2405;
"28132424";20110101;20111231;"12";9664;9607;209;2299;;7365;;385;25953;;2486;
"24689891";20110101;20111231;"12";11470;11470;;279;-3;9841;1350;9041;9171;;-11;
"24689891";20100603;20101231;" 7";7601;7601;;197;;7404;;;9555;;286;
"28615727";20130101;20131231;"12";250;172;;-344;-176;594;;;528;;-365;
"28615727";20120101;20121231;"12";387;270;;23;-181;364;;;1822;;17;
"28615727";20110101;20111231;"12";488;332;;19;-132;469;;;1758;78;-37;
"28615727";20100309;20101231;"10";350;261;;;;281;;;;;-127;
"25293931";20130101;20131231;"12";137774;35159;5120;65439;58600;7751;6540;6262;48554;423;4392;
"25293931";20120101;20121231;"12";110410;36834;7324;62010;48033;16365;9388;7282;61493;61;8900;
"25293931";20110101;20111231;"12";99747;37095;3762;51447;37878;10647;7054;4342;59841;;8162;
"25293931";20100101;20101231;"12";84810;42409;2195;44582;29601;8266;5651;7764;53203;;8475;
"25293931";20090101;20091231;"12";79755;30000;2814;33011;26645;7783;5678;1197;35207;;634;
"25293931";20080101;20081231;"12";97333;38149;3407;29826;25383;17693;7302;4327;46774;4620;-1039;
"28612680";20110101;20111231;"12";1966;566;;1966;-32;;;;;;;
"26889901";20130101;20131231;"12";11233;9500;1935;1891;761;9336;;19021;;;1047;
"26889901";20120101;20121231;"12";8329;7578;1656;1242;1078;5732;1355;18608;3417;;41;
"26889901";20110101;20111231;"12";6264;6224;1440;1326;925;3532;;19173;;;315;
"26889901";20100101;20101231;"12";6516;6477;1418;1324;777;4021;;17794;;;300;
"26889901";20090101;20091231;"12";7052;6985;1527;1177;870;4351;;16821;;;35;
"26889901";20080101;20081231;"12";5865;5759;1737;1289;1088;3223;;20633;;;-11;
"64788342";20130101;20131231;"12";690169;470818;143787;382979;307287;136858;;;765891;40755;65504;
"64788342";20120101;20121231;"12";543670;360900;135547;294205;244504;86799;;18;720195;38508;73222;
"64788342";20110101;20111231;"12";498913;299692;146771;248372;202931;86225;;42;620900;11685;54825;
"64788342";20100101;20101231;"12";426709;254375;128149;211110;139343;86811;;10;515108;3360;81097;
"64788342";20090101;20091231;"12";300304;193474;95460;144693;122196;76933;;;353184;2115;34466;
"64788342";20080101;20081231;"12";300145;174413;103454;138278;108590;72288;;;372745;86;15377;
"64361055";20120101;20121231;"12";78;78;;-2739;-2859;47;;;189;;31;
"64361055";20110101;20111231;"12";23;23;;-2759;-2854;12;;;;;;
"26229650";20120101;20121231;"12";96571;27098;14514;25706;22946;20067;30006;;82317;2607;3646;
"26229650";20110101;20111231;"12";52777;32081;8704;23629;18158;19516;5845;;128193;2945;6468;
"26229650";20100101;20101231;"12";54905;34610;8349;18842;13945;23763;7046;;102805;193;5831;
"26229650";20090101;20091231;"12";32101;28430;6933;14630;10373;15943;1528;;96911;1370;5783;
"26229650";20080101;20081231;"12";29250;27192;4459;10661;8025;18612;;;146622;3;4345;
"27546098";20130101;20131231;"12";61917;19750;12234;22598;12154;16366;;;11016;9;14176;
"27546098";20120101;20121231;"12";92535;69886;6925;9716;8170;63061;;;18812;241;4977;
"27546098";20110101;20111231;"12";40059;24594;7767;5731;2871;10413;;;20963;;5733;
"27546098";20100101;20101231;"12";37370;21514;624;343;7143;6242;;;24527;1055;-4241;
"27546098";20090101;20091231;"12";36002;18886;3220;4583;7038;6518;;;26597;;332;
"27546098";20080818;20081231;"5";2000;2000;;2000;;;;;;;0;
"13642693";20130101;20131231;"12";18031;4505;158;13903;5524;3828;262;;9939;;226;
"13642693";20120101;20121231;"12";18896;5069;158;13886;4491;4569;392;50;18297;;1708;
"13642693";20110101;20111231;"12";24550;11658;158;12853;4380;11648;;;18719;77;444;
"13642693";20100101;20101231;"12";24107;11277;;12743;2922;11310;;;18621;;2047;
"13642693";20090101;20091231;"12";17021;3955;;11284;4018;5051;;;15534;79;-839;
"13642693";20080101;20081231;"12";18154;5824;;15084;4018;2348;;54;33005;;5197;
"46885811";20130101;20131231;"12";47033;35798;17155;16958;14340;27975;;;39590;;2518;
"46885811";20120101;20121231;"12";36249;22432;10044;15733;13599;14741;736;;27429;;1437;
"46885811";20110101;20111231;"12";34897;22455;6330;14390;11606;11861;2060;;44736;;3070;
"46885811";20100101;20101231;"12";36327;20358;13507;12399;9153;14047;715;;33986;;4270;
"46885811";20090101;20091231;"12";31205;21412;8505;9284;7083;16638;;;37164;;3441;
"46885811";20080101;20081231;"12";21799;16856;6012;7215;5395;12367;;40;46533;;3313;
"48910465";20120101;20121231;"12";3155;525;257;1840;1502;1059;256;;2786;;189;
"48910465";20110101;20111231;"12";3372;764;345;1726;538;1539;;;3812;;1044;
"48910465";20100101;20101231;"12";3263;566;377;775;439;2025;138;;2177;;189;
"48910465";20090101;20091231;"12";2819;420;342;679;655;1350;198;;906;;-103;
"48910465";20080101;20081231;"12";2915;491;312;894;1008;1041;172;;1434;;-232;
"22799621";20130101;20131231;"12";37;37;;6;-43;31;;;77;;-142;
"22799621";20121109;20121231;" 2";162;147;;157;;3;;;;;-42;
"28747062";20130101;20131231;"12";2707;1885;;162;-29;2545;;;;;-10;
"28747062";20120101;20121231;"12";1729;905;;171;-17;1558;;32;;;-12;
"28747062";20110829;20111231;"5";506;1;;184;;322;;;;;-16;
"27797767";20130101;20131231;"12";3481;2153;1383;1252;-1768;1364;;;;;-761;
"27797767";20120101;20121231;"12";4095;2074;1383;2033;-471;1347;;80;169;;-1694;
"27797767";20110101;20111231;"12";3768;1054;262;3330;412;396;;642;24;1568;-1081;
"27797767";20100101;20101231;"12";5681;706;;1013;11;1828;;701;516;;499;
"27797767";20090101;20091231;"12";8629;8587;;8612;8;17;;;55;;8;
"27797767";20080101;20081231;"12";8703;8703;;8609;-399;94;;;263;;14;
"29370035";20130101;20131231;"12";10151;6370;2394;270;-60;9255;559;1814;16790;55;608;
"29370035";20120912;20121231;" 4";3508;2908;931;140;;3368;;;;;-53;
"46966153";20130101;20131231;"12";189380;145006;76888;55923;41418;63402;68031;19;252173;;21755;
"46966153";20120101;20121231;"12";127515;90684;50601;51712;29831;38602;34758;27;261431;406;23708;
"46966153";20110101;20111231;"12";142511;108487;69012;35125;52895;65143;39402;69;162612;;4522;
"46966153";20100101;20101231;"12";94082;63633;22950;58050;50678;29817;3277;148;181439;;7003;
"46966153";20090101;20091231;"12";105744;75917;27741;50833;49616;39983;11000;25;133595;;2454;
"46966153";20080101;20081231;"12";101293;71112;19039;53271;38598;31252;10000;190;242045;;19563;
"28326318";20130101;20131231;"12";1572;1531;798;-272;-735;1844;;1255;1127;;305;
"28326318";20120101;20121231;"12";614;611;375;-524;-738;1128;;;;;10;
"28326318";20110101;20111231;"12";728;728;378;-527;-781;1247;;;2099;;55;
"28326318";20100101;20101231;"12";407;395;12;-581;-598;92;;;2389;;-170;
"28326318";20090216;20091231;"11";226;220;88;-394;;616;;;;;-613;
"01437798";20130101;20131231;"12";544;264;213;-112;;99;;;;;-305;
"60740612";20110101;20111231;"12";6337;6170;2426;5925;1858;412;;;15665;;4883;
"60740612";20100101;20101231;"12";6367;6071;3234;5881;2074;486;;;15775;;4511;
"60740612";20090101;20091231;"12";7724;7095;3395;6265;307;1459;;;;;5813;
"60740612";20080101;20081231;"12";5927;5563;2654;6409;1326;-482;;78;17274;;4886;
"25042548";20110101;20111231;"12";23140;21937;4119;14394;9169;4658;4088;45444;;;5564;
"25042548";20100101;20101231;"12";19022;18395;3158;10014;6255;4930;4078;39568;;;4102;
"25042548";20090101;20091231;"12";16567;16176;2110;6503;5961;5371;4693;34016;;;890;
"25042548";20080101;20081231;"12";17600;16961;2873;8861;5495;4566;4173;42806;;48;3812;
"25954113";20130101;20131231;"12";90639;84828;39485;59576;49556;30090;;156032;540;;9541;
"25954113";20120101;20121231;"12";82840;77448;39653;52770;42040;28774;;153389;463;;9045;
"25954113";20110101;20111231;"12";82986;79035;40533;43658;34296;35225;;162836;314;;10536;
"25954113";20100101;20101231;"12";70423;69833;36666;34405;26574;33178;;142999;351;;8723;
"25954113";20090101;20091231;"12";68793;68167;36190;26684;24501;32510;;128139;294;56;2909;
"25954113";20080101;20081231;"12";64950;63740;35652;24611;18203;28014;;155143;417;;9521;
"25599658";20130101;20131231;"12";7683;6015;;412;-1425;5466;;754;21692;;881;
"25599658";20120101;20121231;"12";6906;5606;;-205;-1501;5893;;3113;11486;;392;
"25599658";20110101;20111231;"12";3566;1474;22;-281;-729;2303;;1643;7149;216;-478;
"25599658";20100101;20101231;"12";5053;3345;176;491;46;2952;;4554;4808;94;-295;
"25599658";20090101;20091231;"12";3804;2828;562;466;40;2523;;4955;4857;;132;
"25599658";20080101;20081231;"12";2367;2193;476;460;93;1749;;7232;3108;;134;
"29160111";20130101;20131231;"12";200;200;;200;;;;;;;;
"29160111";20120822;20121231;" 5";200;200;;200;;;;;;;;
"29116970";20130101;20131231;"12";366;366;;326;67;40;;;250;;63;
"29116970";20120101;20121231;"12";580;580;;275;25;305;;;250;;58;
"29116970";20110603;20111231;"7";239;239;;228;;11;;;36;;34;
"28118871";20110101;20111231;"12";2623;1773;;353;-1063;2270;;;11036;;1329;
"28118871";20100226;20101231;"11";1610;1140;;-863;;2473;;;6645;;-1054;
"62503758";20130101;20131231;"12";321292;118650;57003;145192;115835;62000;46861;2791;308901;6729;18169;
"62503758";20120101;20121231;"12";310397;133391;60323;132984;106517;64185;57094;5592;316376;11198;16120;
"62503758";20110101;20111231;"12";336116;146292;71094;123665;107173;68446;58215;3184;316860;25011;4575;
"62503758";20100101;20101231;"12";186534;81703;35776;108544;88442;47041;5712;152;208500;9119;4529;
"62503758";20090101;20091231;"12";148555;76153;30559;90590;80931;54799;1887;;190321;2889;10178;
"62503758";20080101;20081231;"12";123499;68244;30498;83080;70003;33809;1074;;226076;3750;15105;
"27315835";20120101;20121231;"12";524747;198436;57834;179050;35575;162974;26904;70053;1010930;8414;74108;
"27315835";20110101;20111231;"12";490017;204914;49846;128150;-2608;149171;22199;40739;760813;170;67319;
"27315835";20100101;20101231;"12";279785;145974;40284;90700;-34389;62555;;31370;511721;;49403;
"27315835";20090101;20091231;"12";286713;176353;29116;57247;-35609;61035;;36419;446190;;11527;
"27315835";20080101;20081231;"12";268253;170241;27018;17890;-2437;86296;;45130;202146;5;-29930;
"64361462";20130101;20131231;"12";1493151;949395;280745;130929;-61683;1324291;;32324;5829033;4421;25239;
"64361462";20120101;20121231;"12";1391311;797033;246028;193167;-71386;1162952;;35214;5684848;829;33759;
"64361462";20110101;20111231;"12";1221077;618377;252078;183464;-62421;1006583;;31433;5243119;316;51936;
"64361462";20100101;20101231;"12";1004354;597505;227564;116411;-13551;799306;;;4588408;27817;-46109;
"64361462";20090101;20091231;"12";826660;514890;216604;165342;24847;562239;;;4111238;7117;-31322;
"64361462";20080101;20081231;"12";749801;402956;190776;203828;26571;541136;;;5177386;1498;35642;
"29125031";20130101;20131231;"12";33060;30187;21284;6694;-2074;14379;10907;;117008;316;4138;
"29125031";20120227;20121231;"11";25330;21874;18991;4626;;20235;;;52312;;-2071;
"29188440";20130101;20131231;"12";642580;459202;149914;362537;151630;101427;149500;;938364;5532;117366;
"29188440";20120101;20121231;"12";587139;424001;147028;304511;147373;103036;153524;;918828;2647;80791;
"29188440";20110101;20111231;"12";564454;428214;182279;334013;113231;110160;89541;;892848;53681;150055;
"29188440";20100101;20101231;"12";461488;358099;135644;245451;-28;100502;13154;1133;943799;91133;194421;
"29188440";20091111;20091231;"2";248;219;4;172;;76;;;;;-22;
"25191551";20130101;20131231;"12";75321;58819;28911;30768;-19732;20706;22369;;353456;;4238;
"25191551";20120101;20121231;"12";76527;58840;32383;29966;-17655;24728;20082;200;321372;;50;
"25191551";20110101;20111231;"12";68642;49378;30654;32043;-21467;20783;14257;3;275509;746;5168;
"25191551";20100101;20101231;"12";62099;42177;16856;28231;2776;16639;15819;391;227328;51509;-23939;
"25191551";20090101;20091231;"12";118875;44715;24327;39519;9206;18200;34598;;344438;1964;-3772;
"25191551";20080101;20081231;"12";178985;105862;38413;45949;15634;84648;9828;;486582;41;-2873;
"24124818";20130101;20131231;"12";839397;418738;356369;25026;-1769;271246;332264;316712;193887;868;-13237;
"24124818";20120101;20121231;"12";479923;146385;119857;84094;-4346;203970;;202827;;;4235;
"24124818";20110101;20111231;"12";116576;88514;32457;78654;;37922;;6296;;;-3626;
"24168441";20130101;20131231;"12";51742;4320;1440;-40177;-12973;7167;;;5284;;-23622;
"24168441";20120101;20121231;"12";38992;15581;129;-12773;-259;1102;;;614;;-12606;
"24168441";20110101;20111231;"12";17058;9526;;-59;;2029;;;;;-258;
"27217035";20130101;20131231;"12";15561;14221;2155;-28;-2811;15087;;;33539;;1287;
"27217035";20120101;20121231;"12";6042;4441;2075;-191;-2481;5582;;;31180;;-211;
"27217035";20110101;20111231;"12";4745;3073;2775;139;-2142;3841;14;;31141;;-284;
"27217035";20100101;20101231;"12";4595;3486;2647;477;-2628;4092;;;27198;;520;
"27217035";20090101;20091231;"12";4508;3336;2557;-8;-3235;4438;;;32292;;647;
"27217035";20080101;20081231;"12";6983;5818;5035;-615;-3589;7543;;;36709;;481;
"25980751";20110101;20111231;"12";100774;68665;16498;75152;49456;15353;;117518;1671;;20914;
"25980751";20100101;20101231;"12";80737;65932;17747;68734;43106;10745;;120561;300;;22464;
"25980751";20090101;20091231;"12";57229;53391;13657;43325;35300;9497;;117093;221;;17803;
"25980751";20080101;20081231;"12";53306;55099;15426;35521;20333;17067;;134671;216;;22181;
"15036626";20130101;20131231;"12";6459;5367;3473;6119;6445;339;;2466;1062;;-432;
"15036626";20120101;20121231;"12";7366;7258;4795;6599;6214;765;;4864;1290;;288;
"15036626";20110101;20111231;"12";7600;7580;4606;6369;5928;1208;;5196;1672;;368;
"15036626";20100101;20101231;"12";7701;7661;4432;6082;5533;1615;;7477;1294;;354;
"15036626";20090101;20091231;"12";8191;8144;4632;6596;5358;1509;;9823;1313;;1312;
"15036626";20080101;20081231;"12";8894;8862;4132;6313;5253;2579;;8773;2429;;1018;
"29356415";20130101;20131231;"12";90;53;33;-492;-460;582;;304;;;-227;
"29356415";20120514;20121231;" 8";206;160;21;-260;;466;;104;18;;-457;
"28806603";20130101;20131231;"12";146;146;;118;-66;28;;;;;-14;
"28806603";20120101;20121231;"12";162;149;;134;-36;28;;;;;-28;
"28806603";20110101;20111231;"12";168;151;;165;-22;3;;;;;-11;
"28806603";20101015;20101231;"3";178;178;;178;;;;;;;-22;
"29259584";20130101;20131231;"12";169;169;;169;-28;;;;;;;
"29259584";20120101;20121231;"12";172;172;;172;-25;;;;;;;
"29259584";20110101;20111231;"12";189;189;;175;;14;;;;;-19;
"29392586";20130101;20131231;"12";7087;6508;;4563;3947;2494;;;26754;;430;
"29392586";20120101;20121231;"12";7328;6641;;4157;;3156;;12009;242140;2583;6245;
"49787195";20130101;20131231;"12";121990;55095;6961;108312;-817;11314;;56078;88024;72;4255;
"49787195";20120101;20121231;"12";113000;41277;5120;103599;;8377;;49819;85731;310;-105;
"49787195";20110101;20111231;"12";120973;48636;6587;111984;-167;8247;;58730;84485;1367;6369;
"49787195";20100101;20101231;"12";112179;41664;7895;103842;10298;7425;;53767;72349;948;-8624;
"49787195";20090101;20091231;"12";120281;51981;13542;114307;-184;5498;;60283;185250;49703;13803;
"49787195";20080101;20081231;"12";153152;84868;57397;103273;-5490;44556;;71871;295377;10908;5299;
"46580085";20130101;20131231;"12";11281;10085;2501;9412;7827;1864;;6990;8036;269;902;
"46580085";20120101;20121231;"12";10506;9180;2556;8551;6544;1954;;8349;5895;253;1498;
"46580085";20110101;20111231;"12";9048;7659;1967;7268;5603;1777;;7491;4990;286;1146;
"46580085";20100101;20101231;"12";7607;6113;1878;6326;4901;1278;;6620;4923;215;830;
"46580085";20090101;20091231;"12";7065;5456;1954;5625;4237;1431;;6368;5702;250;852;
"46580085";20080101;20081231;"12";13865;12255;2231;12165;9109;1675;;11019;9952;594;2849;
"27978117";20110101;20111231;"12";271;198;71;-2764;-2270;31;;880;652;165;-689;
"27978117";20100101;20101231;"12";621;210;41;-2070;-1141;161;;1276;759;;-1120;
"27978117";20090101;20091231;"12";514;100;;-941;-133;1455;;200;;;-1008;
"27978117";20080101;20081231;"12";1622;1014;;67;-34;1555;;32;;;68;
"29099251";20130101;20131231;"12";23124;6325;;3099;2171;2195;;;7807;;860;
"29099251";20120101;20121231;"12";27302;10730;;2390;761;5093;;;8630;;1714;
"29099251";20110101;20111231;"12";26057;9966;;981;-120;4577;;;8427;55390;1099;
"29099251";20100419;20101231;"9";70574;11072;;80;;59147;;;8;;-118;
"26069784";20130101;20131231;"12";52797;38212;16921;12185;10838;13267;12072;2163;157015;1871;4168;
"26069784";20120101;20121231;"12";33286;23383;14936;11352;5990;12875;;2768;162070;1974;6956;
"26069784";20110101;20111231;"12";29356;21079;16437;6513;4520;16658;;4954;137370;;3099;
"26069784";20100101;20101231;"12";26676;19030;16079;4755;33;20677;;1423;150397;5923;5935;
"26069784";20090101;20091231;"12";20615;13814;11276;915;-3;10791;;970;95216;43;1488;
"26069784";20080101;20081231;"12";18247;11094;10320;233;-85;8197;;3419;88482;;1444;
"29459974";20130101;20131231;"12";187;187;;167;;20;;;850;;-30;
"14869446";20130101;20131231;"12";563201;333072;101195;400767;325999;83050;16937;426810;109178;69;14159;
"14869446";20120101;20121231;"12";552931;311339;78374;391957;309620;64193;17614;474429;160799;5173;36075;
"14869446";20110101;20111231;"12";568330;301403;94310;377623;256200;77487;17474;495507;125824;270;80813;
"14869446";20100101;20101231;"12";462414;251139;76883;315897;247319;106982;2306;291285;128770;324;22270;
"14869446";20090101;20091231;"12";366899;234056;76116;307055;236078;44347;2583;242899;200532;;19800;
"14869446";20080101;20081231;"12";392162;263278;98184;304428;177238;68856;3835;355956;198328;54;93314;
"28036328";20130101;20131231;"12";925;650;;119;72;606;;;5012;;-6;
"28036328";20120101;20121231;"12";1362;903;;132;55;795;;;4949;;38;
"28036328";20110101;20111231;"12";908;838;;113;35;335;;;5484;;35;
"28600363";20130101;20131231;"12";17179;17164;;14320;1909;2858;1;1684;10028;484;6427;
"28600363";20120101;20121231;"12";144276;143250;2523;4109;1463;127005;;44871;-18505;;-1868;
"28600363";20100101;20101231;"12";435653;434487;23400;3132;1892;368972;5930;664861;269182;;-1872;
"28600363";20090916;20091231;"4";22182;20792;;3618;;11157;;51885;154090;;2953;
"40233618";20120101;20121231;"12";14009;9878;;5695;5425;5401;;;;;329;
"40233618";20110101;20111231;"12";10898;7704;11;5545;5945;1540;;;;;-277;
"40233618";20100101;20101231;"12";12898;9382;10;6065;6124;2375;;;11221;110;422;
"40233618";20090101;20091231;"12";11526;7364;6;6243;5542;822;;;6268;;1030;
"40233618";20080101;20081231;"12";10827;6979;13;6040;5528;246;;;;;683;
"29273498";20130101;20131231;"12";19466;19246;4579;14112;9051;5354;;900;73792;;6068;
"29273498";20120101;20121231;"12";19712;19494;5342;9251;753;5211;;195;71629;;10543;
"29273498";20110329;20111231;"10";8299;8090;5749;953;;1707;;207;26663;;1071;
"46966307";20110101;20111231;"12";2356;2248;280;958;635;683;73;2387;2112;;309;
"46966307";20100101;20101231;"12";1955;1712;272;745;240;723;87;3447;1050;;533;
"46966307";20090101;20091231;"12";1953;1569;356;344;577;1008;22;2673;1656;;-192;
"46966307";20080101;20081231;"12";2410;1693;367;681;488;919;46;2205;3621;17;239;
"29093619";20120101;20121231;"12";-8;-8;;-8;-81;;;;376;;-127;
"29093619";20110101;20111231;"12";-202;-202;;-346;-465;144;;;2430;;-81;
"29093619";20100120;20101231;"12";-259;-259;;-265;;6;;;3232;;-458;
"29116686";20120101;20121231;"12";8805;7547;1292;847;415;7931;;7;40520;;984;
"29116686";20110509;20111231;"8";5142;3651;676;635;;4479;;;12367;;572;
"61775843";20130101;20131231;"12";23132;1735;;-1382;-477;400;;;30807;;-225;
"61775843";20120101;20121231;"12";27095;3008;;-377;1702;884;;;14834;;-1426;
"61775843";20110101;20111231;"12";34202;7426;;1802;1860;5400;;;;;-232;
"61775843";20100101;20101231;"12";25291;25291;;1960;2015;671;;16503;1071;;521;
"61775843";20090101;20091231;"12";9011;9011;;2115;2005;6896;;;6787;;13;
"61775843";20080101;20081231;"12";2531;2531;;2105;1864;426;;;1196;2723;144;
"29275504";20120101;20121231;"12";2500;1160;798;-408;-632;1264;180;1489;2503;;66;
"29275504";20110411;20111231;"9";1293;474;;-432;;780;;1411;669;;-620;
"40524604";20130101;20131231;"12";3972339;2180257;308476;956682;-102874;1378446;353786;466777;4393080;23851;256668;
"40524604";20120101;20121231;"12";3278345;1763219;316674;800054;-316376;1067066;309306;549492;3907808;3908;196684;
"40524604";20110101;20111231;"12";2677435;1276499;212858;586541;-326023;770648;242503;247631;3876472;64779;27002;
"40524604";20101229;20101231;"1";2400715;944007;215614;576905;-329197;687379;210351;581;27161;208;453;
