ICO;FIRMA75;DAT_OD;POC_MESICU;AKTIVACELK;KP;VLASTNIJM;CIZIZDROJE;KZ;TZPZ;V;TZPVVAS;OHANIM;PROVHOSPV;NU;HOSPVZUO;
"I» firmy";"N·zev firmy";"ZaË·tek obdobÌ";"PoËet mÏsÌc˘ ˙ËetnÌ z·vÏrky";"Aktiva celkem - tis. KË";"Kr·tkodobÈ pohled·vky - tis. KË";"VlastnÌ kapit·l - tis. KË";"CizÌ zdroje - tis. KË";"Kr·tkodobÈ z·vazky - tis. KË";"Trûby za prodej zboûÌ - tis. KË";"V˝kony - tis. KË";"Trûby za prodej vlastnÌch v˝robk˘ a sluûeb - tis. KË";"Odpisy dlouhodobÈho nehmotnÈho a hmotnÈho majetku - tis. KË";"ProvoznÌ v˝sledek hospoda¯enÌ - tis. KË";"N·kladovÈ ˙roky - tis. KË";"V˝sledek hospoda¯enÌ za ˙ËetnÌ obdobÌ (+/-) - tis. KË";
"27531813";"Abplast, s.r.o.";20110101;"12";7164;2310;929;6235;6089;473;21983;21867;568;204;55;174;
"27531813";"Abplast, s.r.o.";20100101;"12";7499;1623;755;6744;6262;237;16449;16074;483;-298;;-314;
"27531813";"Abplast, s.r.o.";20090101;"12";6621;1368;1069;5552;5151;552;15637;15637;340;259;;237;
"27531813";"Abplast, s.r.o.";20080125;"12";4899;1071;832;4067;4067;664;11254;11254;135;733;;632;
"25206958";"Abydos, s.r.o.";20120101;"12";44993;11634;32340;12528;12528;5674;180456;180432;2983;25177;;17124;
"25206958";"Abydos, s.r.o.";20110101;"12";37628;16851;25216;12318;12318;12448;155321;154820;2758;25910;;19348;
"25206958";"Abydos, s.r.o.";20100101;"12";34810;17261;20868;13877;10877;7482;98853;98471;2023;14802;;9130;
"25206958";"Abydos, s.r.o.";20090101;"12";30135;4113;20738;9364;5114;5387;72734;72774;2321;11321;;7303;
"25206958";"Abydos, s.r.o.";20080101;"12";36713;17714;23127;13536;7511;6979;134082;134124;2551;18706;;11137;
"25430530";"Acaplast CZ, s.r.o.";20110101;"12";161;;151;10;10;;;;;;;;
"25430530";"Acaplast CZ, s.r.o.";20100101;"12";161;;151;10;10;;;;;;;;
"25430530";"Acaplast CZ, s.r.o.";20090101;"12";161;;151;10;10;;;;;;;;
"25430530";"Acaplast CZ, s.r.o.";20080101;"12";161;;151;10;10;;;;;;;;
"26047900";"Acco Czech, a.s.";20130101;"12";68652;38854;55331;13170;8004;;156154;159946;4316;9066;74;9892;
