ICO;FIRMA75;DAT_OD;POC_MESICU;AKTIVACELK;KP;VLASTNIJM;CIZIZDROJE;KZ;TZPZ;V;TZPVVAS;OHANIM;PROVHOSPV;NU;HOSPVZUO;
"I» firmy";"N·zev firmy";"ZaË·tek obdobÌ";"PoËet mÏsÌc˘ ˙ËetnÌ z·vÏrky";"Aktiva celkem - tis. KË";"Kr·tkodobÈ pohled·vky - tis. KË";"VlastnÌ kapit·l - tis. KË";"CizÌ zdroje - tis. KË";"Kr·tkodobÈ z·vazky - tis. KË";"Trûby za prodej zboûÌ - tis. KË";"V˝kony - tis. KË";"Trûby za prodej vlastnÌch v˝robk˘ a sluûeb - tis. KË";"Odpisy dlouhodobÈho nehmotnÈho a hmotnÈho majetku - tis. KË";"ProvoznÌ v˝sledek hospoda¯enÌ - tis. KË";"N·kladovÈ ˙roky - tis. KË";"V˝sledek hospoda¯enÌ za ˙ËetnÌ obdobÌ (+/-) - tis. KË";
"00545503";"DF Partner s. r. o.";20100101;"12";552939;307650;162413;388065;245277;336992;495193;498722;10092;20086;1756;12441;
"00545503";"DF Partner s. r. o.";20090101;"12";466626;251288;158749;302672;200687;283680;535431;519023;8860;53928;1886;40482;
"00545503";"DF Partner s. r. o.";20080101;"12";433391;228894;134787;296320;202299;249102;454954;429288;7159;49777;2167;41594;
"25248294";"DCH - Sincolor, a.s.";20130101;"12";69196;13975;25549;43647;27648;7993;71753;71579;9637;-3466;998;-4837;
"25248294";"DCH - Sincolor, a.s.";20120101;"12";62134;7752;30386;31748;12750;8170;55331;52249;4809;-1203;1648;-3064;
"25248294";"DCH - Sincolor, a.s.";20110101;"12";67992;11448;33450;34542;14196;6582;62917;62833;4867;2484;1191;120;
"25248294";"DCH - Sincolor, a.s.";20100101;"12";69551;9307;33330;36221;11732;5819;55284;55401;5120;-1262;1531;-657;
"25248294";"DCH - Sincolor, a.s.";20090101;"12";76262;6530;33987;42275;20224;;65603;60682;2225;-3473;1526;-4751;
"25248294";"DCH - Sincolor, a.s.";20080101;"12";51743;8204;26393;25330;13849;;39463;39387;2602;-281;1466;-1777;
"25244451";"Dioss N˝¯any, a.s.";20130101;"12";559729;58493;386130;155398;44498;;536921;530944;35893;52774;5868;41966;
"25244451";"Dioss N˝¯any, a.s.";20120101;"12";568499;59742;382603;172188;65407;4;512751;510460;37966;48010;7046;31214;
"25244451";"Dioss N˝¯any, a.s.";20110101;"12";558863;45769;374419;174377;42469;;404204;398159;41048;26062;8193;10714;
"25244451";"Dioss N˝¯any, a.s.";20100101;"12";572556;52751;376205;190578;35307;2266;337910;331894;39339;31910;4672;16096;
"25244451";"Dioss N˝¯any, a.s.";20090101;"12";581830;47918;384139;197511;55316;2260;369153;365805;34855;24302;1914;22352;
"25244451";"Dioss N˝¯any, a.s.";20080101;"12";475782;68483;363787;105867;41782;2625;575640;575700;35354;36759;831;26489;
"00028762";"Dita v˝robnÌ druûstvo invalid˘";20130101;"12";78120;16820;62125;15995;15745;81440;102492;100534;3460;-1350;24;-1478;
"00028762";"Dita v˝robnÌ druûstvo invalid˘";20120101;"12";81897;17335;64644;17253;16875;88559;88312;87950;4350;-5159;15;-5527;
"00028762";"Dita v˝robnÌ druûstvo invalid˘";20110101;"12";86490;17331;71778;14712;14648;56900;93365;92224;4718;1022;;514;
"00028762";"Dita v˝robnÌ druûstvo invalid˘";20100101;"12";89783;21410;72429;17354;16931;56760;77852;77802;4884;-3241;;-3933;
"00028762";"Dita v˝robnÌ druûstvo invalid˘";20090101;"12";93000;18048;77524;15476;14637;55609;78336;79007;5550;-5346;;-5489;
"00028762";"Dita v˝robnÌ druûstvo invalid˘";20080101;"12";98641;16196;84358;14283;12418;59904;106876;107986;6018;1010;;561;
"62029959";"DK Plast, s.r.o.";20130101;"12";58101;6960;53113;4988;3090;2125;39864;38651;2297;8060;;6173;
"62029959";"DK Plast, s.r.o.";20120101;"12";57873;8338;52940;4931;3448;2051;36047;34113;3132;5780;;4401;
"62029959";"DK Plast, s.r.o.";20110101;"12";59416;7233;54659;4736;3528;11324;47572;47802;4784;5763;;4364;
"62029959";"DK Plast, s.r.o.";20100101;"12";59869;6318;53695;6124;5115;14918;35250;34939;4085;4362;11;3118;
"62029959";"DK Plast, s.r.o.";20090101;"12";56660;7600;51477;5178;3539;14445;33285;33786;2493;3696;75;2608;
"62029959";"DK Plast, s.r.o.";20080101;"12";56398;8658;49269;7116;3895;16328;49535;49455;2370;4764;245;3428;
"28792254";"Doleûel Plast, s.r.o.";20130101;"12";749;166;164;585;482;;4318;;75;90;18;56;
"28792254";"Doleûel Plast, s.r.o.";20120101;"12";838;241;107;731;595;;4802;;75;-232;22;-272;
"28792254";"Doleûel Plast, s.r.o.";20110101;"12";1271;572;380;891;726;;6683;6715;46;35;15;6;
"28792254";"Doleûel Plast, s.r.o.";20100429;"9";1305;371;374;853;663;;1772;1712;;216;;174;
"25959611";"Dolgumi, s.r.o.";20130101;"12";6633;3538;-8289;14922;3523;90;19990;;;914;404;426;
"25959611";"Dolgumi, s.r.o.";20120101;"12";3761;893;-8714;12474;1521;;18600;;82;856;324;498;
"25959611";"Dolgumi, s.r.o.";20110101;"12";2678;1333;-9212;11789;727;;19231;19231;;621;127;475;
"25959611";"Dolgumi, s.r.o.";20100101;"12";4095;2430;-9688;13744;824;;17097;;251;2300;107;2184;
"25959611";"Dolgumi, s.r.o.";20090101;"12";1673;1294;-11872;13532;758;;7380;;50;-4354;56;-4435;
"25959611";"Dolgumi, s.r.o.";20080101;"12";241;206;-7436;7677;7652;;5619;;;-4144;63;-4242;
"24169048";"Doriten, s.r.o.";20130101;"12";681;122;207;474;34;;642;642;;63;7;3;
"24169048";"Doriten, s.r.o.";20120101;"12";1081;431;243;838;21;286;195;195;;13;6;4;
"26816466";"Drutex Okna - Dve¯e - Fas·dy, s.r.o.";20110101;"12";22121;3561;13360;8766;3724;59314;5143;5143;2008;4564;328;2645;
"26816466";"Drutex Okna - Dve¯e - Fas·dy, s.r.o.";20100101;"12";18513;3398;10713;7800;3507;40411;5916;5916;2407;946;313;305;
"26816466";"Drutex Okna - Dve¯e - Fas·dy, s.r.o.";20090101;"12";20657;3465;10409;10248;5264;54810;11394;11394;2121;6010;193;3171;
"26816466";"Drutex Okna - Dve¯e - Fas·dy, s.r.o.";20080101;"12";19395;5145;7238;12157;6481;68397;13712;13712;935;1501;11;561;
"29087864";"Druûstvo Relax Prim";20130101;"12";111;;105;6;6;;675;675;;31;;29;
"29087864";"Druûstvo Relax Prim";20120101;"12";86;55;75;11;11;;272;272;;19;;12;
"29087864";"Druûstvo Relax Prim";20110101;"12";251;192;63;188;188;;561;561;;35;;24;
"25366211";"DT - Bautrade, s.r.o.";20130101;"12";11189;3500;7539;3559;3250;;12600;12600;162;233;87;57;
"25366211";"DT - Bautrade, s.r.o.";20120101;"12";12049;3604;7481;4471;2248;;25661;25661;272;7077;165;5696;
"25366211";"DT - Bautrade, s.r.o.";20110101;"12";6930;1393;1785;5075;2404;;8756;8756;85;-905;149;-1091;
"25366211";"DT - Bautrade, s.r.o.";20100101;"12";8358;1223;2876;5370;2652;;11292;11292;296;549;174;-248;
"25366211";"DT - Bautrade, s.r.o.";20090101;"12";8206;1478;3124;5022;1833;;8022;;571;-205;198;-496;
"25366211";"DT - Bautrade, s.r.o.";20080101;"12";8948;3057;3620;5265;1609;;14523;;757;1750;204;1064;
"45792950";"Dyka, s.r.o.";20130101;"12";78442;22451;65198;13241;11271;113065;19;19;1080;-4585;90;-7392;
"45792950";"Dyka, s.r.o.";20120101;"12";86851;27875;72590;14085;11927;142900;19;19;883;3439;115;1067;
"45792950";"Dyka, s.r.o.";20110101;"12";90845;27649;71523;19322;16639;139969;2;2;938;4708;140;4129;
"45792950";"Dyka, s.r.o.";20100101;"12";86902;34765;67394;19508;16523;130786;19;19;1422;-9126;147;-9029;
"45792950";"Dyka, s.r.o.";20090101;"12";86884;30373;76423;10461;7382;117364;2;2;1430;3394;210;2895;
"45792950";"Dyka, s.r.o.";20080101;"12";91960;42160;73528;18430;18059;134944;24;24;1230;15425;126;13207;
"26364930";"Dyros, s.r.o.";20100101;"12";7753;6328;7619;134;134;535;939;939;335;-128;;-143;
"26364930";"Dyros, s.r.o.";20090101;"12";8973;7123;7762;1211;1211;1353;2057;2057;159;-37;;-34;
"26364930";"Dyros, s.r.o.";20080101;"12";9754;6504;8497;1257;1257;1889;1693;1693;10;129;;134;
"24298298";"Eco Resources, s.r.o.";20130101;"12";3835;1615;107;3728;865;9500;;;;126;;99;
"24298298";"Eco Resources, s.r.o.";20120509;" 8";3151;2176;9;3142;279;11488;;;;-150;;-191;
"28749057";"Ecol CZ, s.r.o.";20120101;"12";234;90;228;3;3;;687;687;;60;;40;
"28749057";"Ecol CZ, s.r.o.";20111111;"2";189;;188;;;;;;;-11;;-12;
"27865134";"Edolo, s.r.o.";20120101;"12";2329;1708;791;1531;531;;4203;;258;260;;199;
"27865134";"Edolo, s.r.o.";20110101;"12";1416;316;592;816;816;;5023;5023;86;830;;742;
"27865134";"Edolo, s.r.o.";20100101;"12";574;122;-150;722;722;;2881;;;-143;;-145;
"27865134";"Edolo, s.r.o.";20090101;"12";321;;22;299;299;;1577;;;-289;;-292;
"49450981";"Eftec (Czech Republic), a.s.";20130101;"12";1198854;451153;949714;248496;156458;206785;1068929;1065015;26504;297866;490;336486;
"49450981";"Eftec (Czech Republic), a.s.";20120101;"12";1083868;292922;929039;152648;117318;266751;895151;899019;26222;227698;538;293454;
"49450981";"Eftec (Czech Republic), a.s.";20110101;"12";918264;282904;758197;159314;128319;224232;840445;835517;24168;207092;1010;272142;
"49450981";"Eftec (Czech Republic), a.s.";20100101;"12";804371;238373;610065;191535;151349;190398;629891;620915;24016;128339;1526;139106;
"49450981";"Eftec (Czech Republic), a.s.";20090101;"12";650876;218581;461446;186257;158489;121849;562047;562898;18422;163201;1713;138839;
"49450981";"Eftec (Czech Republic), a.s.";20080101;"12";496517;139508;385166;108529;89472;125848;599644;599183;14735;66073;1855;116757;
"18251412";"Eissmann Automotive »esk· republika, s. r.o.";20130101;"12";278604;91614;98926;179678;75363;;912325;910620;14085;56247;1549;41825;
"18251412";"Eissmann Automotive »esk· republika, s. r.o.";20120101;"12";313520;121124;152101;161419;65663;;946652;939701;12904;123919;3110;103354;
"18251412";"Eissmann Automotive »esk· republika, s. r.o.";20110101;"12";319394;131747;130952;188442;80269;;839771;839307;10093;101217;2231;77159;
"18251412";"Eissmann Automotive »esk· republika, s. r.o.";20100101;"12";331763;166426;198973;132790;39090;;922313;919857;8593;162245;4134;133129;
"18251412";"Eissmann Automotive »esk· republika, s. r.o.";20090101;"12";336216;186707;220966;115250;55462;;764824;766850;9433;124543;3557;103347;
"18251412";"Eissmann Automotive »esk· republika, s. r.o.";20080101;"12";387696;212267;260619;127077;62266;;850272;863971;9475;120029;2803;101224;
"61500941";"Ejot CZ, s.r.o.";20130101;"12";83370;28444;77400;5970;5545;205347;10368;10368;1283;25078;;19300;
"61500941";"Ejot CZ, s.r.o.";20120101;"12";84197;23794;78019;6178;5816;209287;9644;9644;1372;25934;;19919;
"61500941";"Ejot CZ, s.r.o.";20110101;"12";107594;24765;97787;9807;9495;266212;8602;8602;1781;50443;;39687;
"61500941";"Ejot CZ, s.r.o.";20100101;"12";85962;19981;78101;7265;6879;242432;7178;7178;2338;42301;;32512;
"61500941";"Ejot CZ, s.r.o.";20090101;"12";122947;22407;115965;6930;6620;193130;6859;6859;2463;29333;;21244;
"61500941";"Ejot CZ, s.r.o.";20080101;"12";124113;30085;113721;8828;8014;225283;8728;8728;2926;42515;2;34275;
"47450665";"Eko  Delta, s.r.o.";20130101;"12";4745;760;400;4190;4190;214;6974;6958;290;202;;202;
"47450665";"Eko  Delta, s.r.o.";20120101;"12";4283;795;198;4045;4045;261;7092;7029;428;-1759;;-1759;
"47450665";"Eko  Delta, s.r.o.";20110101;"12";5526;505;1988;3491;3491;272;8586;8554;499;-775;;-775;
"47450665";"Eko  Delta, s.r.o.";20100101;"12";6372;868;2794;3537;3537;290;8707;8686;515;-1048;;-1048;
"47450665";"Eko  Delta, s.r.o.";20090101;"12";7849;1164;3860;3940;3940;249;11384;11181;531;309;;-56;
"47450665";"Eko  Delta, s.r.o.";20080101;"12";8240;1133;4921;3288;3288;417;13972;13635;520;1779;3;1393;
"25934937";"EKO - Container Service, s.r.o.";20130101;"12";57278;15153;44385;12877;12094;62245;60699;61157;2003;10806;286;8251;
"25934937";"EKO - Container Service, s.r.o.";20120101;"12";71315;18389;37369;33938;16019;57692;61208;61827;3794;6204;478;4354;
"25934937";"EKO - Container Service, s.r.o.";20110101;"12";65047;13840;31875;33157;12212;52698;60404;58090;2398;8171;626;6137;
"25934937";"EKO - Container Service, s.r.o.";20100101;"12";60831;13324;25738;35079;13007;49413;46564;46947;3161;5765;887;3920;
"25934937";"EKO - Container Service, s.r.o.";20090101;"12";60746;11048;21818;38764;16139;51390;38636;38485;2905;4724;798;3331;
"25934937";"EKO - Container Service, s.r.o.";20080101;"12";45253;11395;18509;26744;15107;72848;43976;41346;2348;4598;497;3536;
"00655708";"EKO, s.r.o.";20110101;"12";3806;1193;2788;580;480;;8038;8038;215;-67;;-97;
"00655708";"EKO, s.r.o.";20100101;"12";3893;1048;2885;975;975;;7564;7564;239;-153;;-185;
"00655708";"EKO, s.r.o.";20090101;"12";4197;1072;3070;1105;1105;;8148;7800;5;34;;10;
"00655708";"EKO, s.r.o.";20080101;"12";4333;1355;3060;1252;1252;;12251;12251;293;82;;26;
"48397571";"Ekomor, s.r.o.";20130101;"12";100715;56162;54983;45345;41785;;159719;168801;1263;28701;7;26662;
"48397571";"Ekomor, s.r.o.";20120101;"12";83521;11829;28330;54121;51928;;91396;78898;1047;6149;;3802;
"48397571";"Ekomor, s.r.o.";20110101;"12";89177;33134;57544;31619;27582;;61305;73180;1222;6691;;5205;
"48397571";"Ekomor, s.r.o.";20100101;"12";87953;40354;52339;35605;33117;;58224;67735;1025;1547;5;4571;
"48397571";"Ekomor, s.r.o.";20090101;"12";102707;54071;47768;48890;38324;;76822;80089;1569;2902;73;-2616;
"48397571";"Ekomor, s.r.o.";20080101;"12";93549;14856;50384;43165;43165;;117338;119310;1880;29187;2;17704;
"28109163";"Ekopeletky, s.r.o.";20120101;"12";3514;163;-1335;4849;4849;;788;718;;-838;;-846;
"28109163";"Ekopeletky, s.r.o.";20110101;"12";3165;32;-494;3556;3551;;257;257;;76;;69;
"28109163";"Ekopeletky, s.r.o.";20100101;"12";1858;275;-557;2415;2415;105;321;321;34;-564;;-572;
"28109163";"Ekopeletky, s.r.o.";20090731;"6";560;19;15;534;534;;106;106;;-178;;-185;
"25295900";"Ekus.CZ, s.r.o.";20130101;"12";632;488;-725;1357;1288;;266;266;118;-341;;-346;
"25295900";"Ekus.CZ, s.r.o.";20120101;"12";730;448;-380;1110;1041;;;;;;;;
"25295900";"Ekus.CZ, s.r.o.";20110101;"12";1017;591;-128;1145;1076;;791;791;111;-81;;-91;
"25295900";"Ekus.CZ, s.r.o.";20100101;"12";1142;561;-37;1179;1110;;972;972;59;17;;11;
"25295900";"Ekus.CZ, s.r.o.";20090101;"12";21;21;-48;69;69;;;;;;;;
"25295900";"Ekus.CZ, s.r.o.";20080101;"12";21;21;-48;69;69;;;;;;;;
"29276829";"Elite - technologies, s.r.o.";20130101;"12";2960;1602;1157;1801;1790;6735;33;33;;1073;9;876;
"29276829";"Elite - technologies, s.r.o.";20120101;"12";352;108;281;71;71;;264;264;;122;;100;
"29276829";"Elite - technologies, s.r.o.";20110428;" 9";181;105;181;;;;;;;-17;;-19;
"27125149";"Elkamet, s.r.o.";20130101;"12";335588;72735;216093;119495;114604;49635;391082;385625;14951;22805;1386;18285;
"27125149";"Elkamet, s.r.o.";20120101;"12";267297;61490;197808;69489;68372;31549;305833;308120;11934;18929;182;16676;
"27125149";"Elkamet, s.r.o.";20110101;"12";201449;35729;181131;18893;17277;27053;298434;295994;14103;44569;697;45613;
"27125149";"Elkamet, s.r.o.";20100101;"12";200997;38857;135519;65478;65183;19992;237273;239894;14135;24774;1864;25312;
"27125149";"Elkamet, s.r.o.";20090101;"12";188272;22634;110207;77568;77471;11771;163108;160323;19334;6716;1713;6795;
"27125149";"Elkamet, s.r.o.";20080101;"12";206391;17930;103411;102633;101947;3403;230702;232161;19762;10035;1838;-630;
"25961624";"Elkona CZ, s.r.o.";20130101;"12";13934;4540;66;13868;8108;;26737;27064;76;2631;997;1506;
"25961624";"Elkona CZ, s.r.o.";20120101;"12";10633;2396;-1438;12071;5696;;16388;15702;258;787;775;3;
"25961624";"Elkona CZ, s.r.o.";20110101;"12";17548;9621;-1441;18989;11858;1763;26219;25543;262;1804;879;797;
"25961624";"Elkona CZ, s.r.o.";20100101;"12";10493;1058;-1835;12328;6101;;10871;11872;340;-1923;376;-2359;
"25961624";"Elkona CZ, s.r.o.";20090101;"12";12625;1957;524;11838;5200;1595;15232;12316;234;1000;709;43;
"25961624";"Elkona CZ, s.r.o.";20080101;"12";13402;4476;480;12922;9422;;24211;23334;259;733;308;363;
"25347942";"Elkoplast CZ, s.r.o.";20120101;"12";213753;108258;62568;151177;93096;134659;207048;205103;6191;6139;1730;2199;
"25347942";"Elkoplast CZ, s.r.o.";20110101;"12";214350;109763;66804;147546;105745;115945;177273;177640;6333;13265;2144;9102;
"25347942";"Elkoplast CZ, s.r.o.";20100101;"12";217582;113764;53511;164071;89266;98168;146649;147906;7294;8365;2873;1147;
"25347942";"Elkoplast CZ, s.r.o.";20090101;"12";243727;131262;40020;203690;84002;179991;107185;114074;7683;4697;5029;4104;
"25347942";"Elkoplast CZ, s.r.o.";20080101;"12";260530;138152;35916;224614;101597;168987;185732;177821;5754;17069;4835;3806;
"28126548";"Elmo-Plast, a.s.";20130101;"12";347472;129341;86009;260721;43710;42537;216251;222358;23040;-41413;3961;2232;
"28126548";"Elmo-Plast, a.s.";20120901;"4";334725;70325;83777;250409;11464;69054;303427;304700;10525;24200;5575;13613;
"28126548";"Elmo-Plast, a.s.";20110901;"12";294653;68677;112598;182055;37916;27028;147895;132485;5277;16118;2170;10643;
"28126548";"Elmo-Plast, a.s.";20110101;"8";252907;68321;76298;176609;32470;27028;147895;132485;5277;16351;2170;10897;
"28126548";"Elmo-Plast, a.s.";20100801;"5";184590;38688;65400;119190;13471;15699;69793;76098;3429;-2028;1493;-13487;
"24183016";"Elxera, s.r.o.";20130101;"12";12209;7150;-8795;21004;20574;37481;972;972;772;-9594;119;-9274;
"24183016";"Elxera, s.r.o.";20120101;"12";8944;6462;479;8448;7853;34390;1358;1358;139;439;51;279;
"24183016";"Elxera, s.r.o.";20111121;"2";200;;200;;;;;;;;;;
"28359411";"Emico Gatt, s.r.o.";20130101;"12";10174;3636;7295;2821;2821;22962;247;247;24;5;;-349;
"28359411";"Emico Gatt, s.r.o.";20120101;"12";10600;5356;7643;2957;2957;36692;2232;2232;12;395;;154;
"28359411";"Emico Gatt, s.r.o.";20110101;"12";10828;4837;7489;3332;3332;30366;2282;2282;;5117;;3851;
"28359411";"Emico Gatt, s.r.o.";20100101;"12";6607;4788;3642;2959;2959;15236;1036;1036;;3666;;2710;
"28359411";"Emico Gatt, s.r.o.";20090907;"4";2142;854;1478;664;664;2193;;;;1288;;1278;
"25566741";"Emseko CZ, s.r.o.";20130101;"12";36562;12935;9205;27357;13092;80;69990;69953;752;124;77;-55;
"25566741";"Emseko CZ, s.r.o.";20120101;"12";26775;9978;9260;17499;8990;174;59260;59218;872;392;16;4;
"25566741";"Emseko CZ, s.r.o.";20110101;"12";23778;7636;9256;14522;7953;264;49981;49881;841;1983;9;1189;
"25566741";"Emseko CZ, s.r.o.";20100101;"12";24135;6910;8067;16068;7473;306;40379;40281;855;3954;313;2540;
"25566741";"Emseko CZ, s.r.o.";20090101;"12";37619;3984;5527;32092;9008;387;33722;33675;1444;2436;646;1300;
"25566741";"Emseko CZ, s.r.o.";20080101;"12";38080;5087;4227;33853;12193;390;41216;39830;996;1997;2103;-433;
"28667891";"Eposan, s.r.o.";20130101;"12";642;249;246;396;29;;2179;2179;;78;24;34;
"28667891";"Eposan, s.r.o.";20120101;"12";1126;411;212;846;390;;1962;1962;63;87;33;35;
"28667891";"Eposan, s.r.o.";20110101;"12";999;611;177;822;399;;1242;1242;64;3;43;-49;
"28667891";"Eposan, s.r.o.";20100101;"12";1327;68;226;1101;631;;2013;2013;64;316;39;243;
"28667891";"Eposan, s.r.o.";20080719;"6";755;24;184;571;76;;595;;31;15;25;-16;
"46507256";"ERA-Pack, s.r.o.";20130101;"12";439783;185191;291155;148628;94247;880723;13880;4618;7122;11831;415;11494;
"46507256";"ERA-Pack, s.r.o.";20120101;"12";491317;165050;279557;211760;146608;727773;18253;9902;6002;19412;238;27327;
"46507256";"ERA-Pack, s.r.o.";20110101;"12";363689;152991;252230;111459;96280;882706;17909;7687;5722;35002;369;29440;
"46507256";"ERA-Pack, s.r.o.";20100101;"12";362197;169173;222791;139406;108943;803748;14479;7284;5505;36262;183;34191;
"46507256";"ERA-Pack, s.r.o.";20090101;"12";250757;112844;188599;62158;62032;494777;10201;5553;6200;20934;;20980;
"46507256";"ERA-Pack, s.r.o.";20080101;"12";198219;74124;167619;30600;29566;386586;13840;5759;6149;13483;;13763;
"28104412";"ESC - Art, s.r.o.";20130101;"12";3426;2038;-9928;13139;9555;;8376;;173;-1924;30;-3348;
"28104412";"ESC - Art, s.r.o.";20110101;"12";2722;458;-4510;7333;5294;;7520;7716;191;-2427;89;-2811;
"28104412";"ESC - Art, s.r.o.";20100101;"12";3596;927;-1699;5295;3859;;7060;7053;199;-1165;24;-1249;
"28104412";"ESC - Art, s.r.o.";20090520;"8";4260;834;-451;4705;3882;;4067;;98;-640;;-651;
"27514374";"Estampa, s.r.o.";20130101;"12";2357;213;1306;1051;258;;6740;6740;63;496;66;306;
"27514374";"Estampa, s.r.o.";20120101;"12";1791;222;1001;790;385;;6032;6032;84;787;50;568;
"27514374";"Estampa, s.r.o.";20110101;"12";1522;774;433;1089;665;;5063;5063;85;287;40;188;
"27514374";"Estampa, s.r.o.";20100101;"12";1566;617;245;1321;1082;;5941;5941;65;411;45;341;
"27514374";"Estampa, s.r.o.";20090101;"12";588;131;-96;684;603;;1789;1789;97;-135;2;-140;
"27514374";"Estampa, s.r.o.";20080101;"12";676;112;44;632;632;;1555;;130;-69;;-75;
"00554812";"ETK, s.r.o.";20130101;"12";51323;13636;17867;31762;18434;177436;18768;18768;3167;8592;309;5582;
"00554812";"ETK, s.r.o.";20120101;"12";71835;17655;12285;59550;36737;224537;22025;22025;3380;2596;728;288;
"00554812";"ETK, s.r.o.";20110101;"12";68883;13313;12998;55886;28545;233837;20226;20226;3459;2708;882;151;
"00554812";"ETK, s.r.o.";20100101;"12";66481;9796;14024;52457;25968;196491;20069;20069;3551;2573;1058;78;
"00554812";"ETK, s.r.o.";20090101;"12";70943;9349;13909;57034;24689;171766;22491;22491;4135;3621;1655;480;
"00554812";"ETK, s.r.o.";20080101;"12";71288;8447;15334;55954;22804;212865;26507;26507;4341;5795;2164;1498;
"26400987";"Eurocar - Automobile, s.r.o.";20120101;"12";171;;171;;;;;;;;;-1;
"26400987";"Eurocar - Automobile, s.r.o.";20110101;"12";172;;172;;;;;;;-6;;-7;
"26400987";"Eurocar - Automobile, s.r.o.";20100101;"12";179;;179;;;;167;167;;6;;5;
"26400987";"Eurocar - Automobile, s.r.o.";20090101;"12";174;12;174;;;;244;244;;;;-1;
"26400987";"Eurocar - Automobile, s.r.o.";20080101;"12";176;;176;;;;;;;;;-2;
"25435655";"Eurofoam Bohemia, s.r.o.";20130101;"12";74872;10305;29620;45252;41477;;123430;123259;2330;4706;;3724;
"25435655";"Eurofoam Bohemia, s.r.o.";20120101;"12";65997;10784;25896;40101;39338;;124038;123868;2606;2655;;3070;
"25435655";"Eurofoam Bohemia, s.r.o.";20110101;"12";69239;11949;22826;46411;45655;;117250;116864;3616;918;;320;
"25435655";"Eurofoam Bohemia, s.r.o.";20100101;"12";71372;13562;22506;48855;46620;;126690;127053;3493;4474;6;4312;
"25435655";"Eurofoam Bohemia, s.r.o.";20090101;"12";71663;13078;20511;51152;50777;;122253;122601;3661;1332;;-3082;
"25435655";"Eurofoam Bohemia, s.r.o.";20080101;"12";74005;13812;23593;50412;50203;;117540;117866;3739;-11845;;-10409;
"26217686";"Eurom, s.r.o.";20130101;"12";112439;18439;30018;82421;22022;1190;146262;145641;4893;6927;2790;2387;
"26217686";"Eurom, s.r.o.";20120101;"12";111520;21540;27698;83822;21410;4435;117707;113335;3875;6636;3004;2552;
"26217686";"Eurom, s.r.o.";20110101;"12";94876;10372;25146;69730;12475;4011;82984;82984;2656;7239;2816;3498;
"26217686";"Eurom, s.r.o.";20100101;"12";99836;13446;21648;78152;26926;5182;62933;62933;1399;2367;811;1851;
"26217686";"Eurom, s.r.o.";20090101;"12";37545;12504;19871;17674;6422;4119;56974;56974;732;4776;350;2960;
"29121132";"Euroobklady PlzeÚ, s.r.o.";20120101;"12";174;;167;7;7;;;;;;;;
"29121132";"Euroobklady PlzeÚ, s.r.o.";20111011;" 3";174;;168;6;6;;;;;-32;;-32;
"60779926";"Europrofil, s.r.o.";20130101;"12";35202;2402;10329;24837;5601;3369;15552;15811;462;-2495;957;-3838;
"60779926";"Europrofil, s.r.o.";20120101;"12";39887;3562;14170;25586;4247;3695;21986;20168;397;1889;1290;-8;
"60779926";"Europrofil, s.r.o.";20110101;"12";43256;2452;14176;29014;4301;2618;19511;17998;527;1850;1542;43;
"60779926";"Europrofil, s.r.o.";20100101;"12";37792;6071;14133;23659;6810;3761;18657;18657;887;1751;979;157;
"60779926";"Europrofil, s.r.o.";20090101;"12";30675;3561;14176;16362;2121;4455;22117;22117;2067;1368;766;216;
"60779926";"Europrofil, s.r.o.";20080101;"12";31348;2844;13060;18092;2200;6695;22319;22319;2095;1804;772;686;
"24168378";"Eurotoma, s.r.o.";20130101;"12";32843;26872;1400;31443;31443;74024;;;;604;;305;
"24168378";"Eurotoma, s.r.o.";20120101;"12";27762;6652;1095;26667;26633;120680;;;;-1150;;586;
"24168378";"Eurotoma, s.r.o.";20111010;" 3";35652;15186;509;35143;35114;28289;;;;1478;;309;
"28827538";"Eurotrans Czech, s.r.o.";20120105;"12";3712;1318;1692;1990;1990;398;15023;15023;78;2249;;1692;
"28091639";"exceet CZ, s.r.o.";20120101;"12";25845;2755;12227;13618;5718;;66334;66352;3123;6660;398;5106;
"27825353";"Exelsior Packaging, a.s.";20110101;"12";156758;107739;126844;29914;29026;25976;43654;41081;19;5977;;3552;
"27825353";"Exelsior Packaging, a.s.";20100101;"12";123515;120216;123292;223;;;;;;-6;;36;
"27825353";"Exelsior Packaging, a.s.";20090101;"12";123857;120980;123255;378;378;;;;;991;224;1259;
"27825353";"Exelsior Packaging, a.s.";20080101;"12";1996;580;1996;;;;;;;;;-4;
"27825396";"Exelsior Recycling, a.s.";20110101;"12";294882;243419;287907;6961;5328;;84526;84526;441;1449;215;1235;
"27825396";"Exelsior Recycling, a.s.";20100101;"12";297966;247308;286671;11292;9998;;65971;65971;361;2590;73;1370;
"27825396";"Exelsior Recycling, a.s.";20090101;"12";287451;173944;285301;861;825;27453;9471;9471;384;2602;1289;2515;
"27825396";"Exelsior Recycling, a.s.";20080101;"12";42000;24682;2786;39214;39214;22702;;;;1562;;786;
"15062309";"Explat, s.r.o.";20130101;"12";29970;8456;-12770;42239;31850;;33482;35117;876;2285;533;1821;
"15062309";"Explat, s.r.o.";20120101;"12";31963;8983;-14591;46554;35260;;37609;34657;;1384;953;478;
