"ICO";"year";"def";"class";"acid.test";"debt.ratio";"asset.turn";"returns"
10559655;2008;0;1;2.83499361430396;0.0761540635832131;1.05861437986284;0.168836192148053
10559655;2009;0;1;4.53730056058646;0.0751031707379591;0.896957424448261;0.160613128957014
10559655;2010;0;1;5.79582183681514;0.0829568687944565;0.789192100978196;0.0474773815207943
10559655;2011;0;1;5.65494106980961;0.090329008231136;0.798776003985103;0.0543681950802951
10559655;2012;0;1;3.1528676389955;0.122203352285313;0.808272064640668;0.0891657260999357
112402;2008;0;1;1.50984346489964;0.359327961201884;0.475483120675008;0.0250818603960641
112402;2009;0;1;0.568969527797162;0.382204108193268;0.343536745125909;-0.0287522154960571
112402;2010;0;1;0.576441544701111;0.379305551012397;0.359646396912106;0.0163553694677963
112402;2011;0;1;0.676764462546936;0.352944574654211;0.468400290496154;0.0434093685009738
112402;2012;0;1;0.479015478304999;0.360929475033662;0.503858030912624;0.022704733646706
11434783;2008;0;1;0.48272129236406;0.474301771440506;1.17133418139703;0.251153429911333
11434783;2009;0;1;0.261493553879835;0.339855332914008;0.715091203162908;0.0500943480995597
11434783;2010;0;1;0.237111205794631;0.314593356242841;0.615830469644903;0.0541580756013746
11434783;2011;0;1;0.291212399842375;0.238856946287287;0.718929677134011;0.0121136173767753
11434783;2012;0;1;0.309585867361714;0.107727825788538;0.172963529154837;0.00882912675880573
115720;2008;0;1;1.52281717317897;0.278342668508882;0.578187955555188;0.0070158601461086
115720;2009;0;1;1.57477477477477;0.170443392919734;0.391219768664564;-0.00905187521906765
115720;2010;0;1;1.49466009447525;0.156659704013155;0.513026087729434;0.00625749966668148
115720;2011;0;1;1.51799809176858;0.190945896209054;0.514161861530283;0.0487465750623645
116700;2008;0;1;9.40820249919897;0.144327929222616;0.331274980913459;0.0671397134773432
116700;2009;0;1;9.40820249919897;0.148514965774376;0.328496727499394;-0.0248525354665189
116700;2010;0;1;9.40820249919897;0.150435784353654;0.277086703049909;-0.010461151773974
116700;2011;0;1;9.40820249919897;0.167690685862146;0.413732150653278;0.0617818998839327
116700;2012;0;1;9.40820249919897;0.156255550331714;0.394755263020425;0.0350833202737293
12090000;2011;0;1;1.30718085106383;0.425600396137658;3.87397870760089;0.534851866883117
12090000;2012;0;1;1.96925566343042;0.283340257582052;3.10282509347736;0.534851866883117
12099066;2008;0;1;2.52741330834114;0.357434464976364;2.26228334049563;0.132466695315857
12099066;2009;0;1;4.24561403508772;0.275512063087213;1.89532311375999;0.309632251516019
12099066;2010;0;1;2.19220809792844;0.256225546605293;1.33804372842348;0.114729574223245
12099066;2011;0;1;2.45215850515464;0.256766757114345;1.3387975691252;-0.00343103177628776
12151271;2009;0;1;1.16981679389313;0.516727351248315;3.10852488067848;0.479281613688655
12151271;2010;0;1;2.5820150778298;0.287643849758606;2.79821054442769;0.511705347111871
12151271;2011;0;1;3.33438714814294;0.203241456072212;1.267643205012;0.0889498377393403
12151271;2012;0;1;3.72829201791726;0.175820659630479;0.724924491072251;-0.00147866600086296
13606115;2009;0;1;1.23863636363636;0.598540145985402;2.2963503649635;0.117274939172749
13606115;2010;0;1;1.10802919708029;0.614878542510121;3.02429149797571;0.190789473684211
13606115;2011;0;1;0.842041312272175;0.651120533010297;3.14778921865536;0.125378558449425
13606115;2012;0;1;0.794594594594595;0.670807453416149;4.18189884649512;0.0399290150842946
13642693;2008;0;1;2.48040885860307;0.169108736366641;1.82103117770188;0.28627299768646
13642693;2009;0;1;0.783013264700059;0.337054227131191;0.912637330356618;-0.0492920509958287
13642693;2010;0;1;0.997082228116711;0.471398349027253;0.772431244037002;0.0849130957813083
13642693;2011;0;1;0.987293956043956;0.476456211812627;0.762484725050916;0.0180855397148676
13642693;2012;0;1;0.989921386817174;0.265135478408129;0.970946232006774;0.09038950042337
14613182;2008;0;1;0.647375272574956;0.464886847158941;1.58876842553463;0.0222149165365643
14613182;2009;0;1;0.6977479782987;0.470104325051196;0.826978616440644;-0.100943056275763
14613182;2010;0;1;0.925491665410946;0.524651630294077;1.16357918462452;0.0294153480651204
14613182;2011;0;1;0.924103451258542;0.582043679771287;1.25115609999457;0.0228570468462833
14613182;2012;0;1;0.629074023085229;0.589132355853957;1.15782931523964;0.0111667792443919
14869446;2008;0;1;2.27117524865527;0.223718769284122;1.41340568438553;0.237947582886664
14869446;2009;0;1;3.36543788621351;0.163107558210843;1.20859146522612;0.0539658053033669
14869446;2010;0;1;1.59446599809677;0.31685243093851;0.908395939569304;0.0481603065651127
14869446;2011;0;1;2.1808216004465;0.335556806784791;1.09325743846005;0.14219379585804
14869446;2012;0;1;2.84773919102277;0.291128549493517;1.14883773924775;0.0652432220295118
15030211;2008;0;1;0.962643138727239;0.44848893382766;1.21991911021234;-0.0110661723401865
15030211;2009;0;1;0.670863433092535;0.368672126862421;1.27041038598937;0.00614272022305481
15030211;2010;0;1;0.850858818600754;0.341191154652285;1.3965334526529;0.0111862091703365
15030211;2011;0;1;0.62871609403255;0.362059988681381;1.09229202037351;0.0431918505942275
15030211;2012;0;1;0.880708204334365;0.30466472303207;1.27516430300934;0.0338488906458467
15036626;2008;0;1;1.83404420317953;0.290195637508433;1.25950078704745;0.114459185968068
15036626;2009;0;1;2.3273691186216;0.194725918691247;1.35954095958979;0.160175802710292
15036626;2010;0;1;1.99938080495356;0.210232437345799;1.13894299441631;0.0459680560966108
15036626;2011;0;1;2.46192052980132;0.161973684210526;0.903684210526316;0.0484210526315789
15036626;2012;0;1;3.21960784313726;0.104127070323106;0.835460222644583;0.0390985609557426
16847407;2008;0;1;2.1217654242019;0.443887557202005;2.08333333333333;0.112406479262003
16847407;2009;0;1;2.63599927126981;0.351313214930765;1.54923615291993;0.112074804334738
18251412;2008;0;1;4.19098705553593;0.327774854525195;2.22847540340886;0.309595662580991
18251412;2009;0;1;2.03148267898383;0.342785590215814;2.28082542175268;0.370425559759202
18251412;2010;0;1;2.62260799455775;0.400255604151156;2.7726328734669;0.489038862079255
18251412;2011;0;1;1.17162151333474;0.589998559772569;2.62781079168676;0.316903260549666
18251412;2012;0;1;1.06604232632596;0.514860295993876;2.9972601428936;0.39525070170962
18503527;2008;0;1;3.15926929221366;0.105190566165216;0.657824290982967;0.176599001446807
18503527;2009;0;1;6.88219515273921;0.0711355456269431;0.972861633462195;0.1355950788866
18503527;2010;0;1;5.048585893392;0.0827612639468529;1.17643940039179;0.0254343752661613
18503527;2011;0;1;6.15997163120567;0.0709526590306193;0.636146393671661;0.059454740773663
18503527;2012;0;1;9.40820249919897;0.0110302005647051;0.0598475811227161;-0.0112726461324568
18511422;2008;0;1;3.87086359967716;0.493316699340581;1.75313372542031;0.100516841917662
18511422;2009;0;1;3.45318352059925;0.480353634577603;1.70132067234228;0.103825583933639
18511422;2010;0;1;4.3201588877855;0.265608566784587;1.87541830002868;0.0888548937119546
18511422;2011;0;1;3.79429892141757;0.288573549566012;1.91046139789858;0.087225902238465
18511422;2012;0;1;3.3718600708892;0.265013393242893;2.00089288285953;0.077248768685734
24124818;2011;0;0;1.47821844839407;0.325298517705188;0.0540076859730991;-0.0311041723853967
24124818;2012;0;0;0.130058341913026;0.824776057825943;0.422624045940703;0.00882433223662963
24682462;2011;0;1;2.31581252737626;0.667498751872192;2.37044433349975;0.4036445332002
24682462;2012;0;1;1.40126291618829;0.703818369453044;2.32520639834881;-0.032249742002064
24731536;2011;1;0;0.471415371017637;0.557819013042894;0.00181076598987047;-0.0974452064004303
24731536;2012;0;0;5.16313592082882;0.63221381459151;0.0156516813013394;-0.254740420021851
24754544;2011;0;1;1.07322834645669;0.905703860188208;2.88726714038794;0.0447474553485692
24754544;2012;0;1;1.65775950668037;0.778708356597804;1.88814442583287;0.14963707426019
24778877;2011;0;1;1.08254159687326;0.409189694138918;1.41167635980112;0.0112665360855808
24778877;2012;0;1;1.33761078580667;0.363790488209408;1.62044420337357;0.0292315093565634
25022229;2008;0;1;1.22926958831341;0.420971875357067;1.79570050438274;0.128282976674338
25022229;2009;0;1;1.77477669076989;0.299825466968695;1.46546474061421;0.0541609417356753
25022229;2010;0;1;1.46753696857671;0.400529195443538;1.61114225491075;0.206733787783658
25022229;2011;0;1;2.00573629778504;0.284584713876565;1.81565676419386;0.146796203740102
25022229;2012;0;1;2.89710834978516;0.19305661496737;1.73332485803882;0.159791083990169
25023063;2008;0;1;0.866168505924991;0.705530178014812;2.11354522915521;0.108483007677038
25023063;2009;0;1;0.839880017140408;0.696556730240127;1.40209335815391;0.134721880744149
25023063;2010;0;1;1.05229985978955;0.604475563562684;1.53387863876593;0.190775388392879
25023063;2011;0;1;0.935723320684375;0.543591840623784;1.47027576404824;0.193523157669067
25023063;2012;0;1;0.625907126145061;0.607222545248318;1.18292379034683;0.0918743501685623
25024639;2008;0;1;0.204852918043102;1.30263474889945;2.49351442087593;-0.0842362276819777
25024639;2009;0;1;0.681128397232522;0.985794838429842;2.98630087471987;0.439709390587725
25024639;2010;0;1;0.556960869366696;0.976173004704968;2.12496223075927;0.0271075236327535
25024639;2011;1;1;0.272707774798928;1.20375301128439;1.41543045517941;-0.222074299480157
25026364;2008;0;1;0.697530419756642;0.746971100893372;1.96281403521041;0.10311369079879
25026364;2009;0;1;1.10466804658778;0.45536995424642;3.50621328207488;0.44588082410591
25026364;2010;1;1;0.329621642815134;1.0116964736005;0.314563370446522;-0.420330778539734
25026364;2011;1;1;0.376397675919948;1.30263474889945;0.984775737689097;-0.378217965112071
25026496;2008;0;1;0.680195941217635;0.290792648969742;1.27162613699647;0.117737144978652
25026496;2009;0;1;0.504660452729694;0.201710396704576;1.03008865407003;0.0928181248320946
25026496;2010;0;1;0.506639004149378;0.225949598990351;0.933599316044457;0.059968244921223
25026496;2011;0;1;0.415328623421109;0.40678368825923;0.712613977249102;0.0484124862633283
25026496;2012;0;1;0.559791463017269;0.332062930666504;0.723062381852552;0.0774742362339167
25040723;2008;0;0;0.71128469588958;0.801348668846333;2.44199556282111;0.0891814572629612
25040723;2009;1;0;0.713924348491088;0.987020699015948;1.7365117068205;-0.124646533197602
25042548;2008;0;1;1.61208376244422;0.496534090909091;2.43215909090909;0.216590909090909
