"year";"ICO";"AKTIVACELK";"ebit";"ebitda";"financial.expanses";"sales"
2008;26044595;142441;24306.86;29544.86;422;285373
2008;25945017;234938;22601.14;36075.14;508;360372
2008;27738795;1327;155.54;260.54;56;165
2008;26298856;58985;4677.42;6378.42;18;84398
2008;27448550;81382;16669.08;16712.08;3751;506
2008;27315835;268253;-26695;-13335;6478;247276
2008;60108576;70077;-2240;3802;834;131882
2008;26229650;29250;2357.71;2863.71;423;146622
2008;25264508;112157;2549.1;5334.1;1135;24160
2008;64361462;749801;19367;66353;21091;5177386
2008;25314017;18500;1865.55;2850.55;487;26189
2008;25323148;86292;14792.1;15867.1;27;186579
2008;47718111;73868;41191.97;46676.97;78;26814
2008;28266960;3851;-3481.63390225866;-3338.63390225866;331.366097741343;14379
2008;25265717;184830;-46427;-33925;2950;236606
2008;26320657;672;-271;-100;131;58672
2008;28268164;2030;215.452151831889;215.452151831889;73.2521518318885;6002
2008;27514234;1241;-18;-10;8;181
2008;47239484;9504;316.99;751.99;174;42761
2008;47455179;20832;1578.8413353599;1853.8413353599;133.141335359899;36042
2008;25206745;27202;527.23;1299.23;498;28959
2008;25206958;36713;9401.38377865942;11952.3837786594;603.153778659417;141103
2008;46580085;13865;1917.75191400861;2006.75191400861;75.4719140086124;20971
2008;47468424;220429;6610.76;25181.76;4127;88792
2008;25999401;6945;403.87;465.87;125;12573
2008;26407159;4085;363.39;614.39;15;31822
2008;45149208;34366;693.84;2783.84;223;66717
2008;543551;31726;1401.33;3737.33;1222;53099
2008;60724226;65838;1987.95;2133.95;404;240730
2008;27740773;10114;1873.32964571334;1894.32964571334;178.779645713342;42192
2008;544752;307179;55586.83;66513.83;3623;422907
2008;25230425;1034231;-270665;-142298;36939;1991991
2008;25558811;5273;434.508834747835;601.508834747835;89.278834747835;10422
2008;49971034;309492;-50001;-24088;6941;423131
2008;26238861;41122;4043.86;4578.86;67;69096
2008;61329568;26319;2094.71372746332;4327.71372746332;379.62372746332;50564
2008;45192448;33835;-2130;-1271;167;35447
2008;64789225;186878;-23539;-5119;5573;417193
2008;27507823;12046;790.07;897.07;132;33411
2008;15036626;8894;830.324123562487;931.324123562487;114.584123562487;11202
2008;16847407;55068;6242.31733295678;7004.31733295678;1085.19733295678;114725
2008;12092;207746;-23963;-15310;3790;307994
2008;46507256;198219;12231.264452155;18380.264452155;1358.49445215502;392345
2008;41057155;60652;6766.95;7850.95;48;94347
2008;29050;92236;-6992;-4009;16;82682
2008;25524194;27688;5183.35;5751.35;313;56158
2008;25582232;217027;6854.67;15904.67;5454;222012
2008;837091;6441;-256.597427795289;-219.597427795289;278.402572204711;10220
2008;115720;120869;936.41;10420.41;637;69885
2008;46964827;561;303.352062290948;303.352062290948;3.15206229094793;279
2008;26200651;129299;11566.21;24592.21;744;180888
2008;28219937;274325;5408.13;18286.13;2764;503243
2008;40233324;37308;10227.15;11613.15;680;177802
2008;45358346;69796;5533.01;6168.01;1015;174555
2008;15062309;27818;-2106;-841;284;47
2008;25383973;45217;1263.09;3454.09;1049;31232
2008;28175247;522173;3542;7854;25074;497194
2008;44004681;82106;1141.31671106671;1146.31671106671;945.396711066706;64571
2008;48910465;2915;-282;-258;71;1434
2008;64830942;161415;7906.84;19934.84;1195;518602
2008;25876996;18672;823.945984745626;1761.94598474563;575.095984745626;16050
2008;46506357;121409;3257.38;5496.38;2371;135663
2008;49435426;125218;4077.17;11699.17;2005;93521
2008;25620665;8478;-680;-561;40;16592
2008;10559655;67219;7514.14;13536.14;115;71159
2008;13642693;18154;2372;2610;2;33059
2008;60697598;302833;18127.52;27989.52;5102;450228
2008;12665894;205;-215.875670433191;-215.875670433191;8.12432956680945;110
2008;47470011;539421;31986.17;55408.17;4634;713327
2008;25934937;45253;3290.44;5638.44;497;114194
2008;18511422;33666;1436.74;5582.74;326;59021
2008;25313363;23810;2604.37;4115.37;864;3747
2008;655708;4333;77.0551450193903;370.05514501939;56.5151450193903;12251
2008;26391325;19294;2639.16;3791.16;266;15644
2008;25435655;74005;-8170.9469829399;-4431.9469829399;2238.0530170601;117866
2008;27509427;7701;2936.87;3388.87;51;37026
2008;570036;203011;-26261;-9563;601;161853
2008;27677010;7574;-2764;-2749;127;5199
2008;25313568;358876;16838.06;30699.06;11771;246879
2008;62909134;114739;5844.92;10294.92;277;158938
2008;25026496;21548;1883.5;2021.5;264;27401
2008;27497097;383;-234.815662478452;-13.815662478452;34.184337521548;94
2008;25862618;11354;799.13;1090.13;446;17128
2008;63216281;233332;23010.01;31172.01;2060;310155
2008;26008203;5942;201.79;1164.79;122;8727
